host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12
BA1,1000_to_1099,1049.5,8,8,1,7,0.0068285,0.0068285,0.015138999999999998,0.025070999999999996,0.013652785714285715,0.013652785714285715,0.0068285,0.0068285,0.015138999999999998,0.025070999999999996,0.013652785714285715,0.013652785714285715,1,0,0,0,0,0,0,0,0,0,0,0
BA16,1000_to_1099,1049.5,15,15,2,5,0.038813466666666664,0.03295900000000001,0.067196,0.17711300000000002,0.06355601904761905,0.04870020512820513,0.038813466666666664,0.03295900000000001,0.067196,0.17711300000000002,0.06355601904761905,0.04870020512820513,0.8666666666666667,0.13333333333333333,0,0,0,0,0,0,0,0,0,0
BA2,1000_to_1099,1049.5,10,10,1,1,0.0034777000000000002,0.0034777000000000002,0.015107,0.020025,0.006951488888888889,0.006951488888888889,0.0034777000000000002,0.0034777000000000002,0.015107,0.020025,0.006951488888888889,0.006951488888888889,1,0,0,0,0,0,0,0,0,0,0,0
BA3,1000_to_1099,1049.5,52,52,6,14,0.06592963461538462,0.022883080000000004,0.141853,0.28890200000000005,0.1047616915535445,0.0438237,0.06592963461538462,0.022883080000000004,0.141853,0.28890200000000005,0.1047616915535445,0.0438237,0.4807692307692308,0.28846153846153844,0.17307692307692307,0.019230769230769232,0.019230769230769232,0.019230769230769232,0,0,0,0,0,0
BA4,1000_to_1099,1049.5,23,23,1,3,0.015726608695652174,0.015726608695652174,0.015133,0.04209200000000001,0.015774355731225296,0.015774355731225296,0.015726608695652174,0.015726608695652174,0.015133,0.04209200000000001,0.015774355731225296,0.015774355731225296,1,0,0,0,0,0,0,0,0,0,0,0
BA8,1000_to_1099,1049.5,33,33,1,7,0.021151575757575758,0.021151575757575758,0.032746,0.10942299999999999,0.03098679166666667,0.03098679166666667,0.021151575757575758,0.021151575757575758,0.032746,0.10942299999999999,0.03098679166666667,0.03098679166666667,1,0,0,0,0,0,0,0,0,0,0,0
BA1,1100_to_1199,1149.5,8,8,1,1,0.004470875,0.004470875,0.013399999999999999,0.022369999999999998,0.008938392857142857,0.008938392857142857,0.004470875,0.004470875,0.013399999999999999,0.022369999999999998,0.008938392857142857,0.008938392857142857,1,0,0,0,0,0,0,0,0,0,0,0
BA16,1100_to_1199,1149.5,15,15,4,8,0.03682066666666666,0.015464909090909095,0.09519600000000002,0.18538300000000002,0.05209544761904762,0.021016872727272727,0.03682066666666666,0.015464909090909095,0.09519600000000002,0.18538300000000002,0.05209544761904762,0.021016872727272727,0.7333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0
BA2,1100_to_1199,1149.5,10,10,1,1,0.006589599999999999,0.006589599999999999,0.013313,0.02215,0.007741866666666666,0.007741866666666666,0.006589599999999999,0.006589599999999999,0.013313,0.02215,0.007741866666666666,0.007741866666666666,1,0,0,0,0,0,0,0,0,0,0,0
BA3,1100_to_1199,1149.5,52,52,5,16,0.06643155769230769,0.009743945945945943,0.104086,0.254033,0.0962132616892911,0.010896912912912914,0.06643155769230769,0.009743945945945943,0.104086,0.254033,0.0962132616892911,0.010896912912912914,0.7115384615384616,0.17307692307692307,0.057692307692307696,0.038461538461538464,0.019230769230769232,0,0,0,0,0,0,0
