host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
132,203,none,1,10,1/10,10
140,579,none,3,10,3/10,8
140,686,none,8,10,8/10,8
145,204,trans,10,10,10/10,10
145,283,none,1,10,1/10,10
145,283,trans,9,10,9/10,10
145,579,complex,5,10,5/10,10
145,579,trans,5,10,5/10,10
145,636,complex,2,10,2/10,10
145,636,none,1,10,1/10,10
203,132,trans,9,10,9/10,10
203,212,trans,10,10,10/10,10
203,672,none,1,10,1/10,10
26,636,none,9,10,9/10,10
26,636,trans,1,10,1/10,10
26,672,none,8,10,8/10,10
367,672,complex,1,10,1/10,10
412,690,none,1,10,1/10,10
449,579,none,2,10,2/10,10
528,690,trans,10,10,10/10,10
528,72,trans,10,10,10/10,10
528,729,trans,10,10,10/10,10
528,826,trans,10,10,10/10,10
579,140,trans,5,10,5/10,8
579,296,trans,10,10,10/10,10
579,449,trans,8,10,8/10,10
579,686,none,3,10,3/10,8
579,686,trans,5,10,5/10,8
579,80,complex,5,10,5/10,10
579,80,trans,5,10,5/10,10
636,145,trans,7,10,7/10,10
636,672,complex,1,10,1/10,9
636,672,none,7,10,7/10,9
672,203,trans,9,10,9/10,10
672,26,trans,2,10,2/10,10
672,367,trans,9,10,9/10,10
672,636,trans,1,10,1/10,9
672,872,none,3,10,3/10,10
672,872,trans,7,10,7/10,10
690,412,trans,9,10,9/10,10
72,729,none,8,10,8/10,8
729,615,trans,10,10,10/10,10
872,528,trans,10,10,10/10,10
