host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
119,154,complex,2,10,2/10,10
119,154,trans,8,10,8/10,10
119,222,trans,9,10,9/10,9
119,255,none,1,10,1/10,10
119,255,trans,9,10,9/10,10
119,552,trans,10,10,10/10,10
119,564,complex,2,10,2/10,10
119,599,trans,10,10,10/10,10
119,613,trans,10,10,10/10,10
119,674,trans,10,10,10/10,10
119,853,none,1,10,1/10,8
119,853,trans,7,10,7/10,8
119,93,trans,10,10,10/10,10
119,987,none,1,10,1/10,8
119,987,trans,7,10,7/10,8
130,572,none,9,10,9/10,9
132,130,trans,10,10,10/10,10
132,17,none,9,10,9/10,9
132,178,trans,9,10,9/10,9
132,194,trans,9,10,9/10,9
132,207,complex,1,10,1/10,10
132,207,none,1,10,1/10,10
132,207,trans,8,10,8/10,10
132,208,complex,1,10,1/10,10
132,208,trans,9,10,9/10,10
132,233,trans,10,10,10/10,10
132,342,trans,9,10,9/10,9
132,39,complex,6,10,6/10,10
132,39,trans,4,10,4/10,10
132,443,trans,9,10,9/10,9
132,569,complex,1,10,1/10,10
132,569,trans,9,10,9/10,10
132,572,trans,10,10,10/10,10
132,62,trans,8,10,8/10,8
132,661,trans,10,10,10/10,10
132,720,trans,10,10,10/10,10
132,90,trans,10,10,10/10,10
132,980,none,1,10,1/10,10
132,980,trans,9,10,9/10,10
132,988,trans,10,10,10/10,10
15,847,complex,2,10,2/10,10
17,377,trans,10,10,10/10,10
17,847,complex,8,10,8/10,10
17,847,none,1,10,1/10,10
17,847,trans,1,10,1/10,10
17,951,complex,2,10,2/10,9
17,951,none,2,10,2/10,9
17,951,trans,5,10,5/10,9
178,194,none,8,10,8/10,10
178,194,trans,1,10,1/10,10
194,178,trans,1,10,1/10,10
222,599,none,9,10,9/10,9
222,613,none,9,10,9/10,10
255,853,none,7,10,7/10,7
255,987,none,7,10,7/10,7
391,847,complex,3,10,3/10,10
446,661,complex,1,10,1/10,10
446,848,complex,1,10,1/10,10
446,848,none,6,10,6/10,10
446,848,trans,3,10,3/10,10
514,564,none,4,10,4/10,10
532,847,complex,2,10,2/10,10
549,564,none,7,10,7/10,10
564,119,trans,8,10,8/10,10
564,514,trans,6,10,6/10,10
564,549,trans,3,10,3/10,10
599,613,none,10,10,10/10,10
613,222,trans,1,10,1/10,10
661,446,trans,9,10,9/10,10
661,848,trans,6,10,6/10,6
661,953,none,1,10,1/10,10
661,953,trans,9,10,9/10,10
734,562,trans,10,10,10/10,10
734,847,none,2,10,2/10,9
847,15,trans,8,10,8/10,10
847,391,trans,7,10,7/10,10
847,532,trans,8,10,8/10,10
847,549,trans,7,10,7/10,7
847,564,trans,10,10,10/10,10
847,734,trans,7,10,7/10,9
847,951,complex,1,10,1/10,7
847,951,none,4,10,4/10,7
847,951,trans,2,10,2/10,7
853,987,none,6,10,6/10,10
853,987,trans,2,10,2/10,10
987,853,trans,2,10,2/10,10
