None	100	0.000000
100	889	3.177852
889	439	3.235899
100	561	3.447364
100	771	3.925201
771	345	4.014573
889	682	4.131931
439	755	4.365071
100	251	4.684664
345	660	5.164295
561	898	5.391076
251	208	5.678278
439	405	5.961743
660	660	5.993398
439	50	6.009178
345	345	6.046504
682	65	6.188308
50	587	6.195286
100	86	6.625203
86	851	6.631953
86	332	6.676508
771	411	6.730615
561	626	6.754698
65	339	6.830035
898	898	6.870925
339	339	7.061675
100	984	7.224569
86	86	7.429504
984	0	7.470645
682	77	7.800394
77	60	7.826272
77	9	7.886676
405	468	7.929735
561	805	8.194056
65	205	8.226654
468	56	8.472460
889	889	8.481907
9	272	8.500484
205	205	8.540729
9	268	8.571505
60	24	8.641214
65	176	8.679979
60	114	8.820424
0	52	8.933726
268	501	8.986237
0	769	9.089460
77	27	9.124347
77	730	9.156128
24	452	9.194742
268	419	9.274170
208	208	9.353193
176	94	9.425530
52	807	9.495783
251	97	9.554107
501	501	9.564517
755	755	9.789467
9	305	9.897164
24	239	9.915624
411	104	9.967742
