unique.split,parent.split,host,parent.host
AK31-SPLIT6,unassigned_region-SPLIT1,AK31,unassigned_region
AK18-SPLIT1,AK31-SPLIT6,AK18,AK31
AK2-SPLIT1,AK31-SPLIT6,AK2,AK31
AK18-SPLIT2,AK31-SPLIT6,AK18,AK31
AK18-SPLIT3,AK31-SPLIT6,AK18,AK31
AK18-SPLIT6,AK31-SPLIT6,AK18,AK31
AK2-SPLIT2,AK18-SPLIT6,AK2,AK18
AK31-SPLIT1,AK18-SPLIT6,AK31,AK18
AK2-SPLIT3,AK18-SPLIT6,AK2,AK18
AK31-SPLIT2,AK18-SPLIT6,AK31,AK18
AK31-SPLIT3,AK18-SPLIT6,AK31,AK18
AK31-SPLIT4,AK18-SPLIT6,AK31,AK18
AK2-SPLIT4,AK18-SPLIT6,AK2,AK18
AK2-SPLIT5,AK18-SPLIT6,AK2,AK18
AK31-SPLIT5,AK18-SPLIT6,AK31,AK18
AK18-SPLIT4,AK31-SPLIT5,AK18,AK31
AK18-SPLIT5,AK31-SPLIT5,AK18,AK31
AK2-SPLIT6,AK18-SPLIT6,AK2,AK18
AK2-SPLIT7,AK31-SPLIT6,AK2,AK31
AH05-SPLIT5,unassigned_region-SPLIT1,AH05,unassigned_region
AH10-SPLIT2,AH05-SPLIT5,AH10,AH05
AH05-SPLIT1,AH10-SPLIT2,AH05,AH10
AH10-SPLIT1,AH05-SPLIT1,AH10,AH05
AH05-SPLIT2,AH10-SPLIT2,AH05,AH10
AH05-SPLIT3,AH10-SPLIT2,AH05,AH10
AH05-SPLIT4,AH10-SPLIT2,AH05,AH10
BB42-SPLIT4,unassigned_region-SPLIT1,BB42,unassigned_region
BB44-SPLIT1,unassigned_region-SPLIT2,BB44,unassigned_region
BB45-SPLIT1,unassigned_region-SPLIT2,BB45,unassigned_region
BB29,BB45-SPLIT1,BB29,BB45
BB31-SPLIT1,BB41-SPLIT4,BB31,BB41
BB41-SPLIT4,BB45-SPLIT1,BB41,BB45
BB31-SPLIT2,BB41-SPLIT4,BB31,BB41
BB31-SPLIT6,BB41-SPLIT4,BB31,BB41
BB41-SPLIT1,BB31-SPLIT6,BB41,BB31
BB1-SPLIT1,BB31-SPLIT6,BB1,BB31
BB31-SPLIT3,BB1-SPLIT1,BB31,BB1
BB31-SPLIT4,BB1-SPLIT1,BB31,BB1
BB1-SPLIT2,BB31-SPLIT6,BB1,BB31
BB31-SPLIT5,BB1-SPLIT2,BB31,BB1
BB41-SPLIT2,BB1-SPLIT2,BB41,BB1
BB41-SPLIT3,BB1-SPLIT2,BB41,BB1
BB44-SPLIT2,BB45-SPLIT1,BB44,BB45
BB42-SPLIT1,BB44-SPLIT2,BB42,BB44
BB42-SPLIT2,BB44-SPLIT2,BB42,BB44
BB44-SPLIT3,BB45-SPLIT1,BB44,BB45
BB42-SPLIT3,BB45-SPLIT1,BB42,BB45
BB44-SPLIT4,BB45-SPLIT1,BB44,BB45
BB44-SPLIT5,BB42-SPLIT4,BB44,BB42
BB44-SPLIT6,BB42-SPLIT4,BB44,BB42
BB44-SPLIT7,BB42-SPLIT4,BB44,BB42
BB45-SPLIT2,BB42-SPLIT4,BB45,BB42
BB45-SPLIT3,BB42-SPLIT4,BB45,BB42
BB45-SPLIT4,unassigned_region-SPLIT3,BB45,unassigned_region
BB44-SPLIT8,unassigned_region-SPLIT3,BB44,unassigned_region
