None	866	0.000000
866	898	0.904115
866	866	1.638938
898	968	7.764500
898	898	8.335069
968	6	26.937068
968	132	27.612299
968	320	27.766616
968	968	29.464532
320	783	33.716445
320	320	34.127106
132	411	37.383019
132	270	37.860634
132	132	38.151018
411	411	43.940040
270	294	44.522242
270	196	44.580370
270	114	44.700868
270	330	44.833962
330	257	45.308485
270	683	45.414214
270	327	45.608286
270	755	45.653996
270	270	45.733188
330	139	46.281263
330	179	46.400009
330	330	46.449032
114	525	46.467329
114	114	46.858613
294	294	46.926543
755	755	47.201316
139	277	47.736895
139	365	48.269126
139	641	48.276241
139	286	48.640797
139	450	48.732497
139	569	48.746353
139	581	48.879173
525	119	49.328169
525	525	49.386254
783	783	49.403568
139	487	49.446414
6	322	49.529021
139	239	49.621851
139	109	49.694208
139	244	49.900635
