host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
221,395,FALSE,FALSE,0,0,1,1,none,13.6374485
221,44,FALSE,FALSE,0,0,1,1,none,26.0567625
395,44,FALSE,FALSE,0,0,1,1,none,22.752194
221,500,FALSE,FALSE,0,0,1,1,none,9.0267535
395,500,FALSE,FALSE,0,0,1,1,none,7.743975
44,500,FALSE,FALSE,0,0,1,1,none,20.163289
221,512,FALSE,FALSE,0,0,1,1,none,10.1372385
395,512,TRUE,TRUE,0,0,1,1,none,7.28815
44,512,FALSE,FALSE,0,0,1,1,none,19.707463999999998
500,512,FALSE,FALSE,0,0,1,1,none,4.243765
221,514,FALSE,FALSE,0,0,1,1,none,18.107912499999998
395,514,TRUE,TRUE,1,0,1,1,anc,2.67009
44,514,FALSE,FALSE,0,0,1,1,none,27.222658
500,514,FALSE,FALSE,0,0,1,1,none,12.214438999999999
512,514,FALSE,FALSE,0,0,1,1,none,11.758614
221,520,FALSE,FALSE,0,0,1,1,none,14.027412500000002
395,520,TRUE,TRUE,0,0,1,1,none,10.722844
44,520,TRUE,TRUE,0,1,1,1,desc,6.19137
500,520,FALSE,FALSE,0,0,1,1,none,8.133939
512,520,TRUE,TRUE,0,0,1,1,none,7.678113999999999
514,520,FALSE,FALSE,0,0,1,1,none,15.193308
221,682,FALSE,FALSE,0,0,1,1,none,18.6090705
395,682,FALSE,FALSE,0,0,1,1,none,15.304502000000001
44,682,FALSE,FALSE,0,0,1,1,none,22.442716
500,682,FALSE,FALSE,0,0,1,1,none,12.715597
512,682,FALSE,FALSE,0,0,1,1,none,12.259772000000002
514,682,FALSE,FALSE,0,0,1,1,none,19.774966
520,682,FALSE,FALSE,0,0,1,1,none,10.413366000000002
221,92,TRUE,TRUE,0,1,1,1,desc,3.90872
395,92,TRUE,TRUE,0,0,1,1,none,5.896165
44,92,FALSE,FALSE,0,0,1,1,none,18.315479
500,92,TRUE,TRUE,0,1,1,1,desc,1.56664
512,92,TRUE,TRUE,0,0,1,1,none,2.395955
514,92,FALSE,FALSE,0,0,1,1,none,10.366629
520,92,TRUE,TRUE,0,0,1,1,none,6.286129
682,92,FALSE,FALSE,0,0,1,1,none,10.867787000000002
221,921,FALSE,FALSE,0,0,1,1,none,11.988685
395,921,FALSE,FALSE,0,0,1,1,none,10.787933500000001
44,921,FALSE,FALSE,0,0,1,1,none,23.2072475
500,921,FALSE,FALSE,0,0,1,1,none,6.1772385
512,921,FALSE,FALSE,0,0,1,1,none,7.2877235
514,921,FALSE,FALSE,0,0,1,1,none,15.258397500000001
520,921,FALSE,FALSE,0,0,1,1,none,11.177897500000002
682,921,FALSE,FALSE,0,0,1,1,none,15.759555500000001
92,921,TRUE,TRUE,1,0,1,1,anc,1.02892
221,348,FALSE,FALSE,0,0,1,2,none,11.976622500000001
395,348,TRUE,TRUE,0,0,1,2,none,8.672054
44,348,FALSE,FALSE,0,0,1,2,none,15.810268
500,348,FALSE,FALSE,0,0,1,2,none,6.083149000000001
512,348,TRUE,TRUE,0,0,1,2,none,5.627324
514,348,FALSE,FALSE,0,0,1,2,none,13.142517999999999
520,348,TRUE,TRUE,0,0,1,2,none,3.780918
682,348,TRUE,TRUE,0,1,1,2,desc,5.60313
92,348,TRUE,TRUE,0,0,1,2,none,4.235339000000001
921,348,FALSE,FALSE,0,0,1,2,none,9.127107500000001
