host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
110,120,FALSE,FALSE,0,0,1,1,none,19.597973
110,122,FALSE,FALSE,0,0,1,1,none,15.877899
120,122,FALSE,FALSE,0,0,1,1,none,19.907394
110,142,FALSE,FALSE,0,0,1,1,none,38.6035183
120,142,FALSE,FALSE,0,0,1,1,none,38.964467299999995
122,142,FALSE,FALSE,0,0,1,1,none,38.9129393
110,148,FALSE,FALSE,0,0,1,1,none,17.480007
120,148,FALSE,FALSE,0,0,1,1,none,20.001522
122,148,FALSE,FALSE,0,0,1,1,none,17.789428
142,148,FALSE,FALSE,0,0,1,1,none,39.007067299999996
110,153,FALSE,FALSE,0,0,1,1,none,16.56276
120,153,FALSE,FALSE,0,0,1,1,none,19.084275
122,153,FALSE,FALSE,0,0,1,1,none,16.872181
142,153,FALSE,FALSE,0,0,1,1,none,38.0898203
148,153,FALSE,FALSE,0,0,1,1,none,6.134252999999999
110,162,FALSE,FALSE,0,0,1,1,none,42.779618299999996
120,162,FALSE,FALSE,0,0,1,1,none,43.140567299999994
122,162,FALSE,FALSE,0,0,1,1,none,43.089039299999996
142,162,TRUE,TRUE,1,0,1,1,anc,1.65557
148,162,FALSE,FALSE,0,0,1,1,none,43.183167299999994
153,162,FALSE,FALSE,0,0,1,1,none,42.2659203
110,171,FALSE,FALSE,0,1,1,1,desc,17.758797299999998
120,171,FALSE,FALSE,0,1,1,1,desc,18.1197463
122,171,FALSE,FALSE,0,1,1,1,desc,18.068218299999998
142,171,TRUE,TRUE,0,1,1,1,desc,3.45119
148,171,FALSE,FALSE,0,1,1,1,desc,18.162346300000003
153,171,FALSE,FALSE,0,1,1,1,desc,17.2450993
162,171,FALSE,FALSE,0,1,1,1,desc,7.62729
110,258,FALSE,FALSE,0,0,1,1,none,38.9720983
120,258,FALSE,FALSE,0,0,1,1,none,39.3330473
122,258,FALSE,FALSE,0,0,1,1,none,39.2815193
142,258,FALSE,FALSE,0,0,1,1,none,14.82788
148,258,FALSE,FALSE,0,0,1,1,none,39.3756473
153,258,FALSE,FALSE,0,0,1,1,none,38.4584003
162,258,FALSE,FALSE,0,0,1,1,none,19.003980000000002
171,258,TRUE,TRUE,1,0,1,1,anc,7.59823
110,284,FALSE,FALSE,0,0,1,1,none,13.007677300000001
120,284,FALSE,FALSE,0,0,1,1,none,13.3686263
122,284,FALSE,FALSE,0,0,1,1,none,13.3170983
142,284,FALSE,FALSE,0,0,1,1,none,28.881321
148,284,FALSE,FALSE,0,0,1,1,none,13.4112263
153,284,FALSE,FALSE,0,0,1,1,none,12.4939793
162,284,FALSE,FALSE,0,0,1,1,none,33.057421
171,284,TRUE,TRUE,1,0,1,1,anc,8.0366
258,284,FALSE,FALSE,0,0,1,1,none,29.249901
110,320,FALSE,FALSE,0,0,1,1,none,16.2008576
120,320,FALSE,FALSE,0,0,1,1,none,20.2303526
122,320,TRUE,TRUE,1,0,1,1,anc,0.0656268
142,320,FALSE,FALSE,0,0,1,1,none,39.235897900000005
148,320,FALSE,FALSE,0,0,1,1,none,18.1123866
153,320,FALSE,FALSE,0,0,1,1,none,17.1951396
162,320,FALSE,FALSE,0,0,1,1,none,43.4119979
171,320,FALSE,FALSE,1,0,1,1,anc,18.391176899999998
258,320,FALSE,FALSE,0,0,1,1,none,39.604477900000006
284,320,FALSE,FALSE,0,0,1,1,none,13.6400569
110,322,FALSE,FALSE,0,0,1,1,none,16.557727
120,322,FALSE,FALSE,0,0,1,1,none,19.079242
122,322,FALSE,FALSE,0,0,1,1,none,16.867148
142,322,FALSE,FALSE,0,0,1,1,none,38.0847873
148,322,FALSE,FALSE,0,0,1,1,none,16.29822
153,322,FALSE,FALSE,0,0,1,1,none,15.380973000000001
162,322,FALSE,FALSE,0,0,1,1,none,42.2608873
171,322,FALSE,FALSE,1,0,1,1,anc,17.240066300000002
258,322,FALSE,FALSE,0,0,1,1,none,38.453367300000004
284,322,FALSE,FALSE,0,0,1,1,none,12.488946299999999
320,322,FALSE,FALSE,0,0,1,1,none,17.1901066
110,430,FALSE,FALSE,0,0,1,1,none,43.22636829999999
120,430,FALSE,FALSE,0,0,1,1,none,43.587317299999995
122,430,FALSE,FALSE,0,0,1,1,none,43.53578929999999
142,430,TRUE,TRUE,1,0,1,1,anc,2.72241
148,430,FALSE,FALSE,0,0,1,1,none,43.62991729999999
153,430,FALSE,FALSE,0,0,1,1,none,42.7126703
162,430,FALSE,FALSE,0,0,1,1,none,8.798950000000001
171,430,FALSE,FALSE,1,0,1,1,anc,8.07404
258,430,FALSE,FALSE,0,0,1,1,none,19.45073
284,430,FALSE,FALSE,0,0,1,1,none,33.504171
320,430,FALSE,FALSE,0,0,1,1,none,43.8587479
322,430,FALSE,FALSE,0,0,1,1,none,42.7076373
110,45,FALSE,FALSE,0,0,1,1,none,38.539118300000005
120,45,FALSE,FALSE,0,0,1,1,none,38.900067299999996
122,45,FALSE,FALSE,0,0,1,1,none,38.848539300000006
142,45,FALSE,FALSE,0,0,1,1,none,18.25454
148,45,FALSE,FALSE,0,0,1,1,none,38.942667300000004
153,45,FALSE,FALSE,0,0,1,1,none,38.0254203
162,45,FALSE,FALSE,0,0,1,1,none,22.430640000000004
171,45,TRUE,TRUE,1,0,1,1,anc,3.55626
258,45,FALSE,FALSE,0,0,1,1,none,18.62312
284,45,FALSE,FALSE,0,0,1,1,none,28.816921
320,45,FALSE,FALSE,0,0,1,1,none,39.171497900000006
322,45,FALSE,FALSE,0,0,1,1,none,38.0203873
430,45,FALSE,FALSE,0,0,1,1,none,22.87739
110,456,FALSE,FALSE,0,0,1,1,none,17.654935360000003
120,456,FALSE,FALSE,0,0,1,1,none,20.176450360000004
122,456,FALSE,FALSE,0,0,1,1,none,17.964356360000004
142,456,FALSE,FALSE,0,0,1,1,none,39.18199566
148,456,TRUE,TRUE,1,0,1,1,anc,0.131827
153,456,FALSE,FALSE,0,0,1,1,none,6.30918136
162,456,FALSE,FALSE,0,0,1,1,none,43.35809566
171,456,FALSE,FALSE,1,0,1,1,anc,18.33727466
258,456,FALSE,FALSE,0,0,1,1,none,39.55057566
284,456,FALSE,FALSE,0,0,1,1,none,13.586154659999998
320,456,FALSE,FALSE,0,0,1,1,none,18.287314960000003
322,456,FALSE,FALSE,0,0,1,1,none,16.47314836
430,456,FALSE,FALSE,0,0,1,1,none,43.80484566
45,456,FALSE,FALSE,0,0,1,1,none,39.117595660000006
110,547,FALSE,FALSE,0,0,1,1,none,37.9894883
120,547,FALSE,FALSE,0,0,1,1,none,38.350437299999996
122,547,FALSE,FALSE,0,0,1,1,none,38.2989093
142,547,FALSE,FALSE,0,0,1,1,none,23.35725
148,547,FALSE,FALSE,0,0,1,1,none,38.393037299999996
153,547,FALSE,FALSE,0,0,1,1,none,37.4757903
162,547,FALSE,FALSE,0,0,1,1,none,27.533350000000002
171,547,TRUE,TRUE,1,0,1,1,anc,2.73337
258,547,FALSE,FALSE,0,0,1,1,none,23.725830000000002
284,547,FALSE,FALSE,0,0,1,1,none,28.267291
320,547,FALSE,FALSE,0,0,1,1,none,38.621867900000005
322,547,FALSE,FALSE,0,0,1,1,none,37.4707573
430,547,FALSE,FALSE,0,0,1,1,none,27.9801
45,547,FALSE,FALSE,0,0,1,1,none,23.29285
456,547,FALSE,FALSE,0,0,1,1,none,38.567965660000006
110,569,FALSE,FALSE,0,0,1,1,none,15.115257
120,569,FALSE,FALSE,0,0,1,1,none,19.144752
122,569,TRUE,TRUE,0,0,1,1,none,2.537858
142,569,FALSE,FALSE,0,0,1,1,none,38.1502973
148,569,FALSE,FALSE,0,0,1,1,none,17.026786
153,569,FALSE,FALSE,0,0,1,1,none,16.109539
162,569,FALSE,FALSE,0,0,1,1,none,42.326397299999996
171,569,FALSE,FALSE,1,0,1,1,anc,17.3055763
258,569,FALSE,FALSE,0,0,1,1,none,38.5188773
284,569,FALSE,FALSE,0,0,1,1,none,12.5544563
320,569,FALSE,FALSE,0,0,1,1,none,2.8608165999999997
322,569,FALSE,FALSE,0,0,1,1,none,16.104506
430,569,FALSE,FALSE,0,0,1,1,none,42.77314729999999
45,569,FALSE,FALSE,0,0,1,1,none,38.085897300000006
456,569,FALSE,FALSE,0,0,1,1,none,17.201714360000004
547,569,FALSE,FALSE,0,0,1,1,none,37.5362673
110,660,FALSE,FALSE,0,0,1,1,none,17.250067
120,660,FALSE,FALSE,0,0,1,1,none,19.771582000000002
122,660,FALSE,FALSE,0,0,1,1,none,17.559488
142,660,FALSE,FALSE,0,0,1,1,none,38.7771273
148,660,FALSE,FALSE,0,0,1,1,none,6.82156
153,660,FALSE,FALSE,0,0,1,1,none,4.841433
162,660,FALSE,FALSE,0,0,1,1,none,42.953227299999995
171,660,FALSE,FALSE,1,0,1,1,anc,17.9324063
258,660,FALSE,FALSE,0,0,1,1,none,39.1457073
284,660,FALSE,FALSE,0,0,1,1,none,13.181286299999998
320,660,FALSE,FALSE,0,0,1,1,none,17.8824466
322,660,FALSE,FALSE,0,0,1,1,none,16.06828
430,660,FALSE,FALSE,0,0,1,1,none,43.39997729999999
45,660,FALSE,FALSE,0,0,1,1,none,38.712727300000005
456,660,FALSE,FALSE,0,0,1,1,none,6.996488360000001
547,660,FALSE,FALSE,0,0,1,1,none,38.1630973
569,660,FALSE,FALSE,0,0,1,1,none,16.796846000000002
110,712,FALSE,FALSE,0,0,1,1,none,19.217689
120,712,TRUE,TRUE,0,0,1,1,none,1.294938
122,712,FALSE,FALSE,0,0,1,1,none,19.52711
142,712,FALSE,FALSE,0,0,1,1,none,38.58418329999999
148,712,FALSE,FALSE,0,0,1,1,none,19.621237999999998
153,712,FALSE,FALSE,0,0,1,1,none,18.703991
162,712,FALSE,FALSE,0,0,1,1,none,42.76028329999999
171,712,FALSE,FALSE,1,0,1,1,anc,17.7394623
258,712,FALSE,FALSE,0,0,1,1,none,38.952763299999994
284,712,FALSE,FALSE,0,0,1,1,none,12.9883423
320,712,FALSE,FALSE,0,0,1,1,none,19.8500686
322,712,FALSE,FALSE,0,0,1,1,none,18.698957999999998
430,712,FALSE,FALSE,0,0,1,1,none,43.20703329999999
45,712,FALSE,FALSE,0,0,1,1,none,38.5197833
456,712,FALSE,FALSE,0,0,1,1,none,19.79616636
547,712,FALSE,FALSE,0,0,1,1,none,37.9701533
569,712,FALSE,FALSE,0,0,1,1,none,18.764468
660,712,FALSE,FALSE,0,0,1,1,none,19.391298
110,846,FALSE,FALSE,0,0,1,1,none,43.3390693
120,846,FALSE,FALSE,0,0,1,1,none,43.700018299999996
122,846,FALSE,FALSE,0,0,1,1,none,43.6484903
142,846,TRUE,TRUE,1,0,1,1,anc,2.62536
148,846,FALSE,FALSE,0,0,1,1,none,43.7426183
153,846,FALSE,FALSE,0,0,1,1,none,42.8253713
162,846,FALSE,FALSE,0,0,1,1,none,4.691269
171,846,FALSE,FALSE,1,0,1,1,anc,8.186741
258,846,FALSE,FALSE,0,0,1,1,none,19.563431
284,846,FALSE,FALSE,0,0,1,1,none,33.616872
320,846,FALSE,FALSE,0,0,1,1,none,43.971448900000006
322,846,FALSE,FALSE,0,0,1,1,none,42.8203383
430,846,FALSE,FALSE,0,0,1,1,none,9.358401
45,846,FALSE,FALSE,0,0,1,1,none,22.990091
456,846,FALSE,FALSE,0,0,1,1,none,43.91754666
547,846,FALSE,FALSE,0,0,1,1,none,28.092801
569,846,FALSE,FALSE,0,0,1,1,none,42.8858483
660,846,FALSE,FALSE,0,0,1,1,none,43.5126783
712,846,FALSE,FALSE,0,0,1,1,none,43.31973429999999
110,871,FALSE,FALSE,0,0,1,1,none,19.8721473
120,871,FALSE,FALSE,0,0,1,1,none,20.2330963
122,871,FALSE,FALSE,0,0,1,1,none,20.181568300000002
142,871,FALSE,FALSE,0,0,1,1,none,39.111971
148,871,FALSE,FALSE,0,0,1,1,none,20.2756963
153,871,FALSE,FALSE,0,0,1,1,none,19.3584493
162,871,FALSE,FALSE,0,0,1,1,none,43.288070999999995
171,871,TRUE,TRUE,1,0,1,1,anc,18.26725
258,871,FALSE,FALSE,0,0,1,1,none,39.480551
284,871,TRUE,TRUE,0,0,1,1,none,13.51613
