dataset,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SEIR015_sl1000_mr0125_nv10_1,65,6,8,58,5,15,53,5,20
SEIR015_sl1000_mr0125_nv10_10,18,1,1,15,1,4,15,1,4
SEIR015_sl1000_mr0125_nv10_11,9,4,4,9,2,4,9,2,4
SEIR015_sl1000_mr0125_nv10_12,12,2,2,11,2,3,9,2,5
SEIR015_sl1000_mr0125_nv10_13,48,2,2,41,1,9,41,1,9
SEIR015_sl1000_mr0125_nv10_14,42,15,10,41,12,11,37,11,15
SEIR015_sl1000_mr0125_nv10_15,28,17,17,23,16,22,23,10,22
SEIR015_sl1000_mr0125_nv10_16,51,18,12,48,14,15,47,14,16
SEIR015_sl1000_mr0125_nv10_17,20,12,6,17,9,9,17,9,9
SEIR015_sl1000_mr0125_nv10_18,8,4,2,7,3,3,7,3,3
SEIR015_sl1000_mr0125_nv10_19,18,12,13,18,3,13,16,3,15
SEIR015_sl1000_mr0125_nv10_2,12,4,4,10,2,6,10,2,6
SEIR015_sl1000_mr0125_nv10_20,35,8,6,31,2,10,31,2,10
SEIR015_sl1000_mr0125_nv10_3,8,2,1,8,2,1,7,2,2
SEIR015_sl1000_mr0125_nv10_4,8,2,2,8,0,2,8,0,2
SEIR015_sl1000_mr0125_nv10_5,30,10,21,21,6,30,21,6,30
SEIR015_sl1000_mr0125_nv10_6,32,4,3,25,3,10,22,3,13
SEIR015_sl1000_mr0125_nv10_7,52,21,16,46,10,22,41,7,27
SEIR015_sl1000_mr0125_nv10_8,12,8,6,9,3,9,9,3,9
SEIR015_sl1000_mr0125_nv10_9,9,14,12,9,9,12,9,8,12
SEIR015_sl1000_mr025_nv10_1,8,2,2,8,1,2,8,1,2
SEIR015_sl1000_mr025_nv10_10,10,1,1,10,1,1,10,1,1
SEIR015_sl1000_mr025_nv10_11,46,13,10,38,5,18,37,5,19
SEIR015_sl1000_mr025_nv10_12,9,4,1,9,3,1,9,3,1
SEIR015_sl1000_mr025_nv10_13,4,8,6,4,4,6,4,4,6
SEIR015_sl1000_mr025_nv10_14,20,10,5,20,9,5,18,7,7
SEIR015_sl1000_mr025_nv10_15,37,28,21,27,23,31,25,22,33
SEIR015_sl1000_mr025_nv10_16,11,5,3,11,5,3,10,5,4
SEIR015_sl1000_mr025_nv10_17,32,7,6,28,7,10,26,6,12
SEIR015_sl1000_mr025_nv10_18,26,14,11,25,10,12,25,8,12
SEIR015_sl1000_mr025_nv10_19,17,4,2,15,4,4,14,4,5
SEIR015_sl1000_mr025_nv10_2,48,9,8,41,6,15,35,6,21
SEIR015_sl1000_mr025_nv10_20,6,4,2,5,4,3,5,2,3
SEIR015_sl1000_mr025_nv10_3,42,5,4,38,3,8,38,3,8
SEIR015_sl1000_mr025_nv10_4,32,14,12,31,10,13,29,10,15
SEIR015_sl1000_mr025_nv10_5,41,7,7,35,5,13,35,5,13
SEIR015_sl1000_mr025_nv10_6,39,7,7,34,6,12,33,5,13
SEIR015_sl1000_mr025_nv10_7,8,1,1,8,1,1,8,1,1
SEIR015_sl1000_mr025_nv10_8,16,2,4,16,0,4,16,0,4
SEIR015_sl1000_mr025_nv10_9,55,5,1,46,2,10,46,2,10
SEIR015_sl1000_mr025_nv20_1,9,5,6,9,2,6,9,2,6
SEIR015_sl1000_mr025_nv20_10,7,3,2,5,3,4,4,3,5
SEIR015_sl1000_mr025_nv20_11,12,2,1,10,2,3,10,2,3
SEIR015_sl1000_mr025_nv20_12,12,13,8,12,8,8,12,5,8
SEIR015_sl1000_mr025_nv20_13,7,6,2,7,6,2,7,6,2
SEIR015_sl1000_mr025_nv20_14,20,2,2,18,2,4,16,2,6
SEIR015_sl1000_mr025_nv20_15,18,15,6,18,7,6,18,7,6
SEIR015_sl1000_mr025_nv20_16,27,4,3,25,4,5,25,4,5
SEIR015_sl1000_mr025_nv20_17,49,10,7,47,8,9,44,8,12
SEIR015_sl1000_mr025_nv20_18,28,18,11,27,15,12,27,15,12
SEIR015_sl1000_mr025_nv20_19,6,7,5,6,4,5,6,4,5
SEIR015_sl1000_mr025_nv20_2,22,4,3,22,4,3,22,2,3
SEIR015_sl1000_mr025_nv20_20,13,6,6,12,5,7,12,5,7
SEIR015_sl1000_mr025_nv20_3,44,26,22,40,20,26,39,19,27
SEIR015_sl1000_mr025_nv20_4,29,5,4,22,5,11,21,5,12
SEIR015_sl1000_mr025_nv20_5,37,2,2,35,2,4,33,2,6
SEIR015_sl1000_mr025_nv20_6,33,13,5,30,11,8,28,11,10
SEIR015_sl1000_mr025_nv20_7,34,2,2,30,2,6,28,0,8
SEIR015_sl1000_mr025_nv20_8,52,30,15,49,14,18,47,13,20
SEIR015_sl1000_mr025_nv20_9,10,8,8,9,5,9,7,1,11
SEIR015_sl1000_mr025_nv5_1,9,2,5,7,1,7,7,1,7
SEIR015_sl1000_mr025_nv5_10,28,10,8,24,7,12,24,7,12
SEIR015_sl1000_mr025_nv5_11,34,14,13,27,11,20,23,11,24
SEIR015_sl1000_mr025_nv5_12,3,8,8,3,4,8,3,4,8
SEIR015_sl1000_mr025_nv5_13,27,2,4,23,0,8,22,0,9
SEIR015_sl1000_mr025_nv5_14,11,7,4,9,4,6,9,4,6
SEIR015_sl1000_mr025_nv5_15,48,20,17,41,16,24,39,11,26
SEIR015_sl1000_mr025_nv5_16,20,4,6,19,0,7,19,0,7
SEIR015_sl1000_mr025_nv5_17,36,6,5,31,6,10,29,4,12
SEIR015_sl1000_mr025_nv5_18,34,13,21,34,5,21,32,5,23
SEIR015_sl1000_mr025_nv5_19,7,11,4,6,6,5,6,6,5
SEIR015_sl1000_mr025_nv5_2,6,2,3,6,0,3,6,0,3
SEIR015_sl1000_mr025_nv5_20,25,18,16,23,10,18,22,9,19
SEIR015_sl1000_mr025_nv5_3,15,7,12,14,2,13,14,2,13
SEIR015_sl1000_mr025_nv5_4,30,18,20,30,13,20,28,11,22
SEIR015_sl1000_mr025_nv5_5,12,6,9,11,5,10,11,4,10
SEIR015_sl1000_mr025_nv5_6,36,22,26,33,15,29,32,12,30
SEIR015_sl1000_mr025_nv5_7,20,6,6,18,4,8,18,4,8
SEIR015_sl1000_mr025_nv5_8,19,6,4,15,4,8,15,3,8
SEIR015_sl1000_mr025_nv5_9,24,17,16,21,9,19,21,9,19
SEIR015_sl1000_mr05_nv10_1,15,5,2,10,5,7,9,5,8
SEIR015_sl1000_mr05_nv10_10,8,2,1,8,2,1,8,2,1
SEIR015_sl1000_mr05_nv10_11,3,6,5,3,6,5,3,5,5
SEIR015_sl1000_mr05_nv10_12,8,3,0,8,3,0,8,3,0
SEIR015_sl1000_mr05_nv10_13,55,6,6,49,3,12,48,3,13
SEIR015_sl1000_mr05_nv10_14,34,14,12,29,8,17,28,7,18
SEIR015_sl1000_mr05_nv10_15,7,5,4,7,3,4,5,3,6
SEIR015_sl1000_mr05_nv10_16,38,8,3,36,6,5,34,5,7
SEIR015_sl1000_mr05_nv10_17,57,21,12,52,13,17,47,12,22
SEIR015_sl1000_mr05_nv10_18,36,10,5,33,9,8,31,9,10
SEIR015_sl1000_mr05_nv10_19,29,8,3,27,7,5,24,4,8
SEIR015_sl1000_mr05_nv10_2,36,3,6,30,3,12,28,3,14
SEIR015_sl1000_mr05_nv10_20,19,31,22,12,26,29,11,22,30
SEIR015_sl1000_mr05_nv10_3,48,9,8,45,6,11,45,5,11
SEIR015_sl1000_mr05_nv10_4,21,14,11,21,13,11,19,12,13
SEIR015_sl1000_mr05_nv10_5,9,2,2,9,2,2,9,2,2
SEIR015_sl1000_mr05_nv10_6,22,5,8,18,4,12,18,4,12
SEIR015_sl1000_mr05_nv10_7,11,10,2,9,7,4,9,7,4
