dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR003_sl1000_mr05_nv20_20,1.0,0.714,0.833,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,1.0,0.538,0.7,0.8,0.615,0.696,0.692,0.692,0.692,0.8,0.615,0.696,0.727,0.615,0.667
SIR003_sl1000_mr05_nv20_4,1.0,0.594,0.745,0.885,0.719,0.793,0.875,0.875,0.875,0.897,0.812,0.852,0.893,0.781,0.833
SIR003_sl1000_mr05_nv20_5,1.0,0.708,0.829,0.889,0.667,0.762,0.75,0.75,0.75,0.947,0.75,0.837,0.85,0.708,0.773
SIR003_sl1000_mr05_nv20_6,1.0,0.643,0.783,0.846,0.786,0.815,0.786,0.786,0.786,0.9,0.643,0.75,0.923,0.857,0.889
SIR003_sl1000_mr05_nv20_7,0.889,0.667,0.762,0.818,0.75,0.783,0.833,0.833,0.833,0.8,0.667,0.727,0.818,0.75,0.783
SIR003_sl1000_mr05_nv20_8,0.938,0.556,0.698,0.783,0.667,0.72,0.704,0.704,0.704,0.792,0.704,0.745,0.826,0.704,0.76
SIR003_sl1000_mr05_nv20_9,0.897,0.65,0.754,0.872,0.85,0.861,0.8,0.8,0.8,0.816,0.775,0.795,0.865,0.8,0.831
SIR003_sl1000_mr05_nv5_1,1.0,0.457,0.627,0.742,0.657,0.697,0.722,0.743,0.732,0.774,0.686,0.727,0.862,0.714,0.781
SIR003_sl1000_mr05_nv5_10,1.0,0.512,0.677,0.848,0.683,0.757,0.829,0.829,0.829,0.886,0.756,0.816,0.909,0.732,0.811
SIR003_sl1000_mr05_nv5_11,0.931,0.435,0.593,0.826,0.613,0.704,0.71,0.71,0.71,0.84,0.677,0.75,0.864,0.613,0.717
SIR003_sl1000_mr05_nv5_12,1.0,0.833,0.909,1.0,0.833,0.909,1.0,1.0,1.0,1.0,0.833,0.909,1.0,0.833,0.909
SIR003_sl1000_mr05_nv5_13,1.0,0.545,0.706,0.833,0.455,0.588,0.833,0.909,0.87,0.833,0.909,0.87,0.875,0.636,0.737
SIR003_sl1000_mr05_nv5_14,1.0,0.448,0.619,0.81,0.586,0.68,0.759,0.759,0.759,0.826,0.655,0.731,1.0,0.517,0.682
SIR003_sl1000_mr05_nv5_15,1.0,0.435,0.607,0.86,0.694,0.768,0.806,0.806,0.806,0.852,0.742,0.793,0.857,0.677,0.757
SIR003_sl1000_mr05_nv5_16,1.0,0.167,0.286,0.667,0.333,0.444,0.667,0.667,0.667,0.667,0.667,0.667,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,1.0,0.333,0.5,0.659,0.562,0.607,0.688,0.688,0.688,0.744,0.604,0.667,0.735,0.521,0.61
SIR003_sl1000_mr05_nv5_18,1.0,0.438,0.609,0.727,0.5,0.593,0.875,0.875,0.875,0.867,0.812,0.839,0.8,0.75,0.774
SIR003_sl1000_mr05_nv5_19,0.875,0.412,0.56,0.714,0.588,0.645,0.629,0.647,0.638,0.655,0.559,0.603,0.769,0.588,0.667
SIR003_sl1000_mr05_nv5_2,1.0,0.417,0.588,0.778,0.583,0.667,0.75,0.75,0.75,0.818,0.75,0.783,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_20,1.0,0.462,0.632,1.0,0.462,0.632,0.769,0.769,0.769,0.818,0.692,0.75,0.9,0.692,0.783
SIR003_sl1000_mr05_nv5_3,1.0,0.375,0.545,0.833,0.625,0.714,0.75,0.75,0.75,0.75,0.75,0.75,0.833,0.625,0.714
SIR003_sl1000_mr05_nv5_4,1.0,0.786,0.88,1.0,0.786,0.88,0.857,0.857,0.857,0.917,0.786,0.846,1.0,0.857,0.923
SIR003_sl1000_mr05_nv5_5,1.0,0.455,0.625,1.0,0.455,0.625,0.909,0.909,0.909,1.0,0.727,0.842,1.0,0.545,0.706
SIR003_sl1000_mr05_nv5_6,1.0,0.364,0.533,0.571,0.364,0.444,0.727,0.727,0.727,0.667,0.545,0.6,1.0,0.455,0.625
SIR003_sl1000_mr05_nv5_7,1.0,0.405,0.577,0.661,0.527,0.586,0.627,0.635,0.631,0.741,0.541,0.625,0.867,0.527,0.655
