dataset,phy_f1,tnet_f1,tnet_50_f1,tnet_80_f1,tnet_100_f1
SEIR015_sl1000_mr0125_nv10_1,0.552,0.805,0.903,0.853,0.809
SEIR015_sl1000_mr0125_nv10_10,0.6,0.789,0.947,0.857,0.857
SEIR015_sl1000_mr0125_nv10_11,0.526,0.692,0.692,0.75,0.75
SEIR015_sl1000_mr0125_nv10_12,0.444,0.857,0.857,0.815,0.72
SEIR015_sl1000_mr0125_nv10_13,0.675,0.9,0.96,0.891,0.891
SEIR015_sl1000_mr0125_nv10_14,0.688,0.793,0.771,0.781,0.74
SEIR015_sl1000_mr0125_nv10_15,0.419,0.674,0.622,0.548,0.59
SEIR015_sl1000_mr0125_nv10_16,0.696,0.716,0.773,0.768,0.758
SEIR015_sl1000_mr0125_nv10_17,0.652,0.655,0.69,0.654,0.654
SEIR015_sl1000_mr0125_nv10_18,0.556,0.727,0.727,0.7,0.7
SEIR015_sl1000_mr0125_nv10_19,0.625,0.508,0.59,0.692,0.64
SEIR015_sl1000_mr0125_nv10_2,0.692,0.606,0.75,0.714,0.714
SEIR015_sl1000_mr0125_nv10_20,0.754,0.833,0.833,0.838,0.838
SEIR015_sl1000_mr0125_nv10_3,0.625,0.8,0.842,0.842,0.778
SEIR015_sl1000_mr0125_nv10_4,0.75,0.8,0.8,0.889,0.889
SEIR015_sl1000_mr0125_nv10_5,0.328,0.627,0.659,0.538,0.538
SEIR015_sl1000_mr0125_nv10_6,0.49,0.806,0.901,0.794,0.733
SEIR015_sl1000_mr0125_nv10_7,0.538,0.847,0.738,0.742,0.707
SEIR015_sl1000_mr0125_nv10_8,0.519,0.579,0.632,0.6,0.6
SEIR015_sl1000_mr0125_nv10_9,0.323,0.409,0.409,0.462,0.474
SEIR015_sl1000_mr025_nv10_1,0.842,0.9,0.8,0.842,0.842
SEIR015_sl1000_mr025_nv10_10,0.154,0.909,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.581,0.754,0.8,0.768,0.755
SEIR015_sl1000_mr025_nv10_12,0.625,0.609,0.783,0.818,0.818
SEIR015_sl1000_mr025_nv10_13,0.235,0.364,0.364,0.444,0.444
SEIR015_sl1000_mr025_nv10_14,0.5,0.704,0.727,0.741,0.72
SEIR015_sl1000_mr025_nv10_15,0.356,0.453,0.602,0.5,0.476
SEIR015_sl1000_mr025_nv10_16,0.667,0.733,0.733,0.733,0.69
SEIR015_sl1000_mr025_nv10_17,0.536,0.727,0.831,0.767,0.743
SEIR015_sl1000_mr025_nv10_18,0.6,0.65,0.675,0.694,0.714
SEIR015_sl1000_mr025_nv10_19,0.516,0.829,0.85,0.789,0.757
SEIR015_sl1000_mr025_nv10_2,0.463,0.655,0.85,0.796,0.722
SEIR015_sl1000_mr025_nv10_20,0.4,0.667,0.667,0.588,0.667
SEIR015_sl1000_mr025_nv10_3,0.759,0.851,0.903,0.874,0.874
SEIR015_sl1000_mr025_nv10_4,0.618,0.717,0.711,0.729,0.699
SEIR015_sl1000_mr025_nv10_5,0.639,0.854,0.854,0.795,0.795
SEIR015_sl1000_mr025_nv10_6,0.627,0.87,0.848,0.791,0.786
SEIR015_sl1000_mr025_nv10_7,0.667,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.788,1.0,0.842,0.889,0.889
SEIR015_sl1000_mr025_nv10_9,0.682,0.922,0.948,0.885,0.885
SEIR015_sl1000_mr025_nv20_1,0.435,0.625,0.621,0.692,0.692
SEIR015_sl1000_mr025_nv20_10,0.333,0.737,0.737,0.588,0.5
SEIR015_sl1000_mr025_nv20_11,0.727,0.889,0.889,0.8,0.8
SEIR015_sl1000_mr025_nv20_12,0.513,0.522,0.533,0.6,0.649
SEIR015_sl1000_mr025_nv20_13,0.632,0.636,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv20_14,0.452,0.909,0.909,0.857,0.8
SEIR015_sl1000_mr025_nv20_15,0.558,0.759,0.632,0.735,0.735
SEIR015_sl1000_mr025_nv20_16,0.769,0.885,0.885,0.847,0.847
SEIR015_sl1000_mr025_nv20_17,0.628,0.87,0.852,0.847,0.815
