dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR015_sl500_mr025_nv10_1,0.833,0.5,0.625,1,0.6,0.75,0.667,0.6,0.632,0.667,0.8,0.727,0.667,0.8,0.727,0.727,0.8,0.762
SEIR015_sl500_mr025_nv10_10,0.885,0.535,0.667,0.974,0.884,0.927,0.929,0.907,0.918,0.867,0.907,0.886,0.881,0.86,0.871,0.974,0.86,0.914
SEIR015_sl500_mr025_nv10_11,0.25,0.125,0.167,0,0,0,0.6,0.375,0.462,0.455,0.625,0.526,0.4,0.5,0.444,1,0.5,0.667
SEIR015_sl500_mr025_nv10_12,0.714,0.377,0.494,1,0.83,0.907,0.957,0.849,0.9,0.556,0.66,0.603,0.708,0.642,0.673,0.974,0.698,0.813
SEIR015_sl500_mr025_nv10_13,0.44,0.393,0.415,1,0.643,0.783,0.72,0.643,0.679,0.436,0.607,0.507,0.485,0.571,0.525,1,0.786,0.88
SEIR015_sl500_mr025_nv10_14,1,0.778,0.875,1,0.111,0.2,1,0.222,0.364,0.8,0.889,0.842,0.8,0.889,0.842,0.875,0.778,0.824
SEIR015_sl500_mr025_nv10_15,0.909,0.517,0.659,1,0.862,0.926,0.981,0.897,0.937,0.763,0.776,0.769,0.836,0.793,0.814,1,0.724,0.84
SEIR015_sl500_mr025_nv10_16,0.556,0.417,0.476,1,0.417,0.588,0.778,0.583,0.667,0.625,0.833,0.714,0.714,0.833,0.769,1,0.75,0.857
SEIR015_sl500_mr025_nv10_17,0.769,0.714,0.741,1,0.5,0.667,0.727,0.571,0.64,0.632,0.857,0.727,0.667,0.857,0.75,1,0.643,0.783
SEIR015_sl500_mr025_nv10_18,0.75,0.231,0.353,1,0.885,0.939,0.958,0.885,0.92,0.63,0.654,0.642,0.706,0.462,0.558,0.947,0.692,0.8
SEIR015_sl500_mr025_nv10_19,0.778,0.7,0.737,1,0.5,0.667,0.857,0.6,0.706,0.727,0.8,0.762,0.727,0.8,0.762,1,0.9,0.947
SEIR015_sl500_mr025_nv10_2,0.5,0.25,0.333,1,0.5,0.667,0.833,0.625,0.714,0.625,0.625,0.625,0.625,0.625,0.625,0.714,0.625,0.667
SEIR015_sl500_mr025_nv10_20,0.791,0.531,0.636,1,0.766,0.867,0.898,0.828,0.862,0.718,0.797,0.756,0.796,0.672,0.729,1,0.703,0.826
SEIR015_sl500_mr025_nv10_3,0.773,0.459,0.576,0.75,0.405,0.526,0.577,0.405,0.476,0.634,0.703,0.667,0.73,0.73,0.73,0.944,0.459,0.618
SEIR015_sl500_mr025_nv10_4,0.423,0.268,0.328,0.952,0.488,0.645,0.912,0.756,0.827,0.396,0.512,0.447,0.415,0.415,0.415,0.941,0.78,0.853
SEIR015_sl500_mr025_nv10_5,1,0.571,0.727,1,0.786,0.88,0.917,0.786,0.846,0.933,1,0.966,0.933,1,0.966,0.933,1,0.966
SEIR015_sl500_mr025_nv10_6,0.789,0.789,0.789,1,0.526,0.69,0.929,0.684,0.788,0.75,0.789,0.769,0.75,0.789,0.769,1,0.895,0.944
SEIR015_sl500_mr025_nv10_7,0.735,0.403,0.521,0.974,0.597,0.74,0.792,0.613,0.691,0.493,0.565,0.526,0.69,0.468,0.558,0.944,0.548,0.694
SEIR015_sl500_mr025_nv10_8,0.533,0.358,0.429,1,0.522,0.686,0.769,0.597,0.672,0.651,0.806,0.72,0.739,0.761,0.75,0.98,0.731,0.838
