dataset,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857,0.762,0.8,0.78,0.933,0.7,0.8
SEIR01_sl1000_mr0125_nv10_9,0.979,0.979,0.979,0.977,0.894,0.933,0.976,0.872,0.921
SEIR01_sl1000_mr025_nv10_11,0.784,0.829,0.806,0.879,0.829,0.853,1.0,0.914,0.955
SEIR01_sl1000_mr025_nv10_13,0.762,0.8,0.78,0.842,0.8,0.821,0.895,0.85,0.872
SEIR01_sl500_mr025_nv10_10,0.714,0.714,0.714,0.714,0.714,0.714,0.75,0.643,0.692
SEIR01_sl1000_mr05_nv10_20,0.811,0.827,0.819,0.935,0.827,0.878,0.976,0.788,0.872
SEIR01_sl500_mr025_nv10_3,0.826,0.905,0.864,0.826,0.905,0.864,1.0,0.762,0.865
SEIR01_sl1000_mr025_nv10_17,0.644,0.644,0.644,0.763,0.644,0.699,0.914,0.711,0.8
SEIR01_sl250_mr025_nv10_5,0.562,0.659,0.607,0.622,0.683,0.651,0.897,0.634,0.743
SEIR01_sl500_mr025_nv10_5,0.571,0.8,0.667,0.8,0.8,0.8,1.0,0.2,0.333
SEIR01_sl250_mr025_nv10_17,0.286,0.5,0.364,0.333,0.5,0.4,0.5,0.25,0.333
SEIR01_sl1000_mr025_nv5_20,0.625,0.625,0.625,0.682,0.625,0.652,0.938,0.625,0.75
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2,0.25,0.2,0.222,1.0,0.4,0.571
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917,1.0,0.75,0.857
SEIR01_sl250_mr025_nv10_20,0.684,0.722,0.703,0.722,0.722,0.722,0.909,0.556,0.69
SEIR01_sl1000_mr025_nv20_13,0.862,0.862,0.862,0.942,0.845,0.891,0.96,0.828,0.889
SEIR01_sl1000_mr05_nv10_14,0.725,0.744,0.734,0.914,0.821,0.865,1.0,0.641,0.781
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl250_mr025_nv10_16,0.516,0.717,0.6,0.483,0.63,0.547,0.957,0.478,0.638
SEIR01_sl250_mr025_nv10_2,0.529,0.643,0.581,0.643,0.643,0.643,0.818,0.643,0.72
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv10_9,0.809,0.809,0.809,0.86,0.787,0.822,0.951,0.83,0.886
SEIR01_sl1000_mr0125_nv10_14,0.933,0.933,0.933,0.933,0.933,0.933,0.964,0.9,0.931
SEIR01_sl1000_mr025_nv5_18,0.766,0.766,0.766,0.886,0.66,0.756,0.921,0.745,0.824
