dataset,without_complex_tp,without_complex_fp,without_complex_fn,with_complex_tp,with_complex_fp,with_complex_fn
SEIR015_sl1000_mr0125_nv10_1,66,0,7,70,0,3
SEIR015_sl1000_mr0125_nv10_10,16,0,3,16,1,3
SEIR015_sl1000_mr0125_nv10_11,9,0,4,9,2,4
SEIR015_sl1000_mr0125_nv10_12,9,0,5,10,0,4
SEIR015_sl1000_mr0125_nv10_13,47,1,3,47,1,3
SEIR015_sl1000_mr0125_nv10_14,39,1,13,40,4,12
SEIR015_sl1000_mr0125_nv10_15,29,1,16,29,2,16
SEIR015_sl1000_mr0125_nv10_16,37,1,26,43,5,20
SEIR015_sl1000_mr0125_nv10_17,18,0,8,21,3,5
SEIR015_sl1000_mr0125_nv10_18,7,0,3,8,1,2
SEIR015_sl1000_mr0125_nv10_19,17,0,14,19,1,12
SEIR015_sl1000_mr0125_nv10_2,11,1,5,11,2,5
SEIR015_sl1000_mr0125_nv10_20,34,0,7,39,0,2
SEIR015_sl1000_mr0125_nv10_3,6,0,3,6,2,3
SEIR015_sl1000_mr0125_nv10_4,7,0,3,8,0,2
SEIR015_sl1000_mr0125_nv10_5,47,1,4,47,1,4
SEIR015_sl1000_mr0125_nv10_6,28,0,7,28,1,7
SEIR015_sl1000_mr0125_nv10_7,52,0,16,62,0,6
SEIR015_sl1000_mr0125_nv10_8,14,0,4,14,1,4
SEIR015_sl1000_mr0125_nv10_9,11,0,10,14,1,7
SEIR015_sl1000_mr025_nv10_1,7,0,3,7,1,3
SEIR015_sl1000_mr025_nv10_10,4,1,7,4,2,7
SEIR015_sl1000_mr025_nv10_11,46,0,10,48,1,8
SEIR015_sl1000_mr025_nv10_12,1,0,9,3,2,7
SEIR015_sl1000_mr025_nv10_13,1,0,9,2,3,8
SEIR015_sl1000_mr025_nv10_14,17,3,8,18,5,7
SEIR015_sl1000_mr025_nv10_15,37,0,21,43,5,15
SEIR015_sl1000_mr025_nv10_16,8,0,6,8,0,6
SEIR015_sl1000_mr025_nv10_17,26,1,12,27,2,11
SEIR015_sl1000_mr025_nv10_18,25,0,12,26,5,11
SEIR015_sl1000_mr025_nv10_19,14,0,5,18,0,1
SEIR015_sl1000_mr025_nv10_2,49,1,7,54,1,2
SEIR015_sl1000_mr025_nv10_20,4,0,4,5,1,3
SEIR015_sl1000_mr025_nv10_3,36,0,10,41,1,5
SEIR015_sl1000_mr025_nv10_4,35,0,9,36,2,8
SEIR015_sl1000_mr025_nv10_5,44,0,4,46,1,2
SEIR015_sl1000_mr025_nv10_6,42,2,4,42,3,4
SEIR015_sl1000_mr025_nv10_7,5,1,4,5,1,4
SEIR015_sl1000_mr025_nv10_8,14,0,6,14,4,6
SEIR015_sl1000_mr025_nv10_9,48,0,8,49,3,7
SEIR015_sl1000_mr025_nv20_1,9,0,6,11,0,4
SEIR015_sl1000_mr025_nv20_10,2,0,7,5,1,4
SEIR015_sl1000_mr025_nv20_11,9,0,4,9,2,4
SEIR015_sl1000_mr025_nv20_12,12,1,8,14,4,6
SEIR015_sl1000_mr025_nv20_13,5,1,4,6,2,3
SEIR015_sl1000_mr025_nv20_14,21,1,1,21,1,1
SEIR015_sl1000_mr025_nv20_15,9,0,15,17,3,7
SEIR015_sl1000_mr025_nv20_16,26,3,4,27,3,3
SEIR015_sl1000_mr025_nv20_17,49,0,7,50,3,6
SEIR015_sl1000_mr025_nv20_18,24,0,15,29,5,10
SEIR015_sl1000_mr025_nv20_19,6,0,5,8,2,3
SEIR015_sl1000_mr025_nv20_2,15,0,10,20,2,5
SEIR015_sl1000_mr025_nv20_20,11,2,8,12,3,7
