dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR01_sl1000_mr025_nv5_14,14,3,6,19,2,1,18,4,2,16,5,4,14,1,6
SEIR01_sl1000_mr0125_nv10_9,30,1,17,46,6,1,46,1,1,42,1,5,41,1,6
SEIR01_sl1000_mr025_nv10_11,22,2,13,35,4,0,29,8,6,29,4,6,32,0,3
SEIR01_sl1000_mr025_nv10_13,4,2,16,18,3,2,16,5,4,16,3,4,17,2,3
SEIR01_sl500_mr025_nv10_10,6,3,8,10,6,4,10,4,4,10,4,4,9,3,5
SEIR01_sl1000_mr05_nv10_20,37,2,15,50,5,2,43,10,9,43,3,9,41,1,11
SEIR01_sl500_mr025_nv10_3,18,2,3,20,3,1,19,4,2,19,4,2,16,0,5
SEIR01_sl1000_mr025_nv10_17,26,3,19,41,13,4,29,16,16,29,9,16,32,3,13
SEIR01_sl250_mr025_nv10_5,24,12,17,39,10,2,27,21,14,28,17,13,26,3,15
SEIR01_sl500_mr025_nv10_5,3,0,2,4,3,1,4,3,1,4,1,1,1,0,4
SEIR01_sl250_mr025_nv10_17,3,7,5,5,3,3,4,10,4,4,8,4,2,2,6
SEIR01_sl1000_mr025_nv5_20,11,2,13,20,8,4,15,9,9,15,7,9,15,1,9
SEIR01_sl1000_mr0125_nv10_12,1,0,4,4,4,1,1,4,4,1,3,4,2,0,3
SEIR01_sl1000_mr025_nv5_13,9,0,3,11,3,1,11,1,1,11,1,1,9,0,3
SEIR01_sl250_mr025_nv10_20,12,2,6,14,6,4,13,6,5,13,5,5,10,1,8
SEIR01_sl1000_mr025_nv20_13,43,5,15,53,9,5,50,8,8,49,3,9,48,2,10
SEIR01_sl1000_mr05_nv10_14,24,2,15,38,9,1,29,11,10,32,3,7,25,0,14
SEIR01_sl1000_mr05_nv10_13,2,1,6,6,2,2,7,1,1,7,1,1,7,1,1
SEIR01_sl250_mr025_nv10_16,19,23,27,41,30,5,33,31,13,29,31,17,22,1,24
SEIR01_sl250_mr025_nv10_2,10,5,4,12,2,2,9,8,5,9,5,5,9,2,5
SEIR01_sl1000_mr0125_nv10_8,2,1,4,4,1,2,4,2,2,4,2,2,4,2,2
SEIR01_sl1000_mr025_nv10_9,29,2,18,45,10,2,38,9,9,37,6,10,39,2,8
SEIR01_sl1000_mr0125_nv10_14,24,1,6,28,4,2,28,2,2,28,2,2,27,1,3
SEIR01_sl1000_mr025_nv5_18,25,4,22,43,11,4,36,11,11,31,4,16,35,3,12
SEIR01_sl500_mr025_nv10_9,7,2,2,8,1,1,7,2,2,7,2,2,7,1,2
SEIR01_sl500_mr025_nv10_19,6,4,2,6,1,2,5,5,3,5,4,3,6,1,2
SEIR01_sl1000_mr025_nv5_8,12,2,11,22,2,1,21,2,2,20,2,3,17,1,6
SEIR01_sl500_mr025_nv10_6,38,3,15,50,11,3,49,9,4,46,6,7,43,1,10
SEIR01_sl250_mr025_nv10_9,40,11,21,60,10,1,49,23,12,47,15,14,45,0,16
SEIR01_sl1000_mr0125_nv10_4,15,1,9,22,6,2,18,6,6,18,3,6,18,1,6
SEIR01_sl1000_mr0125_nv10_2,16,1,10,26,2,0,24,2,2,24,2,2,18,0,8
SEIR01_sl500_mr025_nv10_2,4,1,4,6,2,2,4,4,4,4,3,4,5,1,3
SEIR01_sl1000_mr05_nv10_17,13,1,9,21,6,1,20,3,2,20,1,2,19,1,3
SEIR01_sl1000_mr025_nv20_8,3,1,2,3,2,2,3,2,2,3,2,2,3,2,2
SEIR01_sl1000_mr025_nv20_1,22,2,10,31,2,1,30,4,2,30,3,2,29,0,3
SEIR01_sl1000_mr025_nv10_14,22,2,12,32,6,2,30,5,4,29,5,5,30,2,4
SEIR01_sl1000_mr0125_nv10_15,10,0,14,23,7,1,20,4,4,19,4,5,16,0,8
SEIR01_sl1000_mr05_nv10_7,32,6,14,39,16,7,37,10,9,37,9,9,35,2,11
SEIR01_sl1000_mr025_nv5_6,4,2,4,6,4,2,5,3,3,5,3,3,5,3,3
SEIR01_sl1000_mr05_nv10_16,19,1,3,21,1,1,21,1,1,21,1,1,21,1,1
SEIR01_sl1000_mr025_nv10_16,24,0,18,41,3,1,36,7,6,33,1,9,34,0,8
SEIR01_sl1000_mr0125_nv10_13,9,1,1,9,0,1,9,2,1,9,2,1,10,0,0
SEIR01_sl1000_mr025_nv10_15,6,2,4,7,3,3,8,2,2,8,2,2,7,2,3
SEIR01_sl250_mr025_nv10_8,25,12,9,27,5,7,26,17,8,26,16,8,21,0,13
SEIR01_sl250_mr025_nv10_1,24,13,21,37,20,8,32,25,13,33,19,12,28,2,17
SEIR01_sl1000_mr0125_nv10_3,22,4,16,37,4,1,32,6,6,32,4,6,30,1,8
SEIR01_sl1000_mr025_nv5_3,6,2,4,8,1,2,9,2,1,8,2,2,8,0,2
SEIR01_sl1000_mr0125_nv10_6,28,1,20,45,6,3,42,6,6,37,3,11,36,1,12
SEIR01_sl1000_mr0125_nv10_10,37,2,17,51,5,3,50,4,4,44,4,10,40,4,14
SEIR01_sl1000_mr025_nv5_10,9,0,24,30,16,3,28,6,5,23,3,10,16,0,17
SEIR01_sl1000_mr025_nv20_6,11,0,0,10,1,1,11,1,0,11,1,0,10,1,1
SEIR01_sl500_mr025_nv10_7,23,6,11,31,7,3,29,8,5,27,7,7,26,2,8
SEIR01_sl1000_mr025_nv20_11,3,1,2,4,1,1,4,1,1,4,1,1,4,1,1
SEIR01_sl1000_mr05_nv10_18,42,4,14,54,6,2,49,8,7,48,7,8,49,1,7
SEIR01_sl1000_mr025_nv10_7,27,3,13,33,6,7,28,12,12,28,7,12,30,5,10
SEIR01_sl250_mr025_nv10_4,9,2,5,13,6,1,13,3,1,13,3,1,10,0,4
SEIR01_sl1000_mr0125_nv10_17,7,4,5,9,2,3,10,3,2,10,3,2,10,2,2
SEIR01_sl500_mr025_nv10_15,41,4,17,54,8,4,48,13,10,46,8,12,42,0,16
SEIR01_sl1000_mr05_nv10_10,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1
SEIR01_sl500_mr025_nv10_4,5,0,2,5,1,2,6,2,1,5,2,2,5,1,2
SEIR01_sl1000_mr05_nv10_12,41,3,17,52,18,6,50,9,8,47,3,11,40,2,18
SEIR01_sl1000_mr025_nv20_17,19,2,6,22,1,3,21,4,4,20,4,5,23,1,2
SEIR01_sl1000_mr025_nv5_15,11,3,16,22,7,5,20,8,7,18,6,9,18,4,9
SEIR01_sl500_mr025_nv10_1,5,3,5,9,2,1,5,6,5,5,6,5,6,1,4
SEIR01_sl1000_mr025_nv5_7,8,0,2,9,2,1,9,1,1,9,1,1,9,0,1
SEIR01_sl1000_mr05_nv10_19,3,0,4,6,4,1,4,4,3,4,2,3,2,0,5
SEIR01_sl500_mr025_nv10_20,14,3,18,30,11,2,23,9,9,22,5,10,20,2,12
