dataset,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR01_sl1000_mr05_nv10_12,50,9,8,47,3,11,40,2,18
SEIR01_sl1000_mr025_nv20_17,21,4,4,20,4,5,23,1,2
SEIR01_sl1000_mr025_nv5_15,20,8,7,18,6,9,18,4,9
SEIR01_sl500_mr025_nv10_1,5,6,5,5,6,5,6,1,4
SEIR01_sl1000_mr025_nv5_7,9,1,1,9,1,1,9,0,1
SEIR01_sl1000_mr05_nv10_19,4,4,3,4,2,3,2,0,5
SEIR01_sl500_mr025_nv10_20,23,9,9,22,5,10,20,2,12
SEIR01_sl1000_mr025_nv5_9,8,1,1,8,1,1,6,1,3
SEIR01_sl1000_mr025_nv10_8,22,5,5,22,3,5,22,3,5
SEIR01_sl500_mr025_nv10_16,12,4,3,12,4,3,10,1,5
SEIR01_sl1000_mr025_nv10_1,26,3,2,24,3,4,24,0,4
SEIR01_sl1000_mr0125_nv10_7,35,4,4,35,2,4,33,0,6
SEIR01_sl1000_mr025_nv5_2,10,7,6,10,3,6,11,1,5
SEIR01_sl1000_mr025_nv10_20,13,4,4,14,3,3,12,3,5
SEIR01_sl1000_mr05_nv10_6,34,6,6,32,4,8,30,2,10
SEIR01_sl250_mr025_nv10_19,10,4,2,10,4,2,6,1,6
SEIR01_sl500_mr025_nv10_18,3,3,3,3,3,3,4,2,2
SEIR01_sl500_mr025_nv10_14,5,2,1,5,2,1,3,0,3
SEIR01_sl1000_mr025_nv10_6,5,2,2,5,2,2,4,1,3
SEIR01_sl1000_mr025_nv20_3,19,3,2,19,3,2,17,1,4
SEIR01_sl1000_mr025_nv5_5,33,21,18,32,7,19,25,1,26
SEIR01_sl250_mr025_nv10_18,25,11,7,21,7,11,21,0,11
SEIR01_sl1000_mr025_nv20_15,21,2,2,21,1,2,21,1,2
SEIR01_sl1000_mr025_nv20_10,6,3,3,6,1,3,6,1,3
SEIR01_sl1000_mr05_nv10_15,14,2,2,13,2,3,15,1,1
SEIR01_sl1000_mr025_nv10_4,46,7,6,40,3,12,44,1,8
SEIR01_sl1000_mr025_nv20_16,5,4,2,5,4,2,4,0,3
SEIR01_sl250_mr025_nv10_7,12,5,2,12,5,2,10,1,4
SEIR01_sl500_mr025_nv10_8,14,5,2,14,5,2,14,1,2
SEIR01_sl1000_mr0125_nv10_16,5,2,2,5,2,2,2,1,5
SEIR01_sl1000_mr0125_nv10_1,13,6,5,13,4,5,14,0,4
SEIR01_sl250_mr025_nv10_6,14,14,8,15,11,7,8,2,14
SEIR01_sl250_mr025_nv10_3,22,11,5,22,11,5,16,1,11
SEIR01_sl1000_mr025_nv5_1,31,10,10,28,6,13,30,2,11
SEIR01_sl250_mr025_nv10_13,4,3,2,3,3,3,0,1,6
SEIR01_sl250_mr025_nv10_15,7,3,0,6,4,1,4,0,3
SEIR01_sl1000_mr0125_nv10_18,40,7,5,40,6,5,36,0,9
SEIR01_sl1000_mr025_nv20_9,11,1,1,11,0,1,11,0,1
SEIR01_sl250_mr025_nv10_12,38,10,5,33,7,10,28,0,15
SEIR01_sl1000_mr025_nv20_7,15,2,2,14,2,3,14,0,3
SEIR01_sl1000_mr025_nv10_12,6,2,2,5,2,3,5,1,3
SEIR01_sl1000_mr025_nv20_18,23,3,3,23,3,3,23,3,3
SEIR01_sl1000_mr025_nv20_14,11,2,2,11,2,2,12,1,1
SEIR01_sl1000_mr025_nv20_5,28,5,5,28,5,5,27,1,6
SEIR01_sl1000_mr0125_nv10_5,42,7,5,41,5,6,41,0,6
SEIR01_sl1000_mr025_nv10_18,8,1,1,7,1,2,7,1,2
SEIR01_sl1000_mr0125_nv10_11,12,1,1,12,1,1,9,1,4
SEIR01_sl1000_mr05_nv10_1,9,4,4,9,2,4,10,1,3
SEIR01_sl1000_mr025_nv20_4,6,2,2,6,2,2,5,2,3
SEIR01_sl1000_mr05_nv10_9,24,2,2,24,2,2,21,1,5
SEIR01_sl1000_mr025_nv5_16,17,1,1,17,1,1,16,0,2
SEIR01_sl1000_mr05_nv10_8,7,1,1,7,1,1,7,1,1
SEIR01_sl1000_mr05_nv10_5,16,2,2,16,2,2,16,2,2
SEIR01_sl250_mr025_nv10_14,23,28,23,23,18,23,25,4,21
SEIR01_sl1000_mr025_nv10_5,38,7,6,36,4,8,31,1,13
SEIR01_sl1000_mr025_nv5_11,15,5,4,12,3,7,11,0,8
SEIR01_sl1000_mr05_nv10_3,21,4,4,20,2,5,17,2,8
SEIR01_sl500_mr025_nv10_11,14,5,3,14,5,3,14,1,3
SEIR01_sl1000_mr0125_nv10_20,22,4,3,22,1,3,23,1,2
SEIR01_sl1000_mr025_nv5_17,9,2,2,9,2,2,10,1,1
SEIR01_sl500_mr025_nv10_17,2,5,4,2,4,4,2,1,4
SEIR01_sl1000_mr025_nv10_3,41,9,8,39,8,10,41,2,8
SEIR01_sl1000_mr05_nv10_4,8,4,3,8,4,3,8,0,3
SEIR01_sl1000_mr025_nv5_4,38,12,12,35,7,15,31,3,19
SEIR01_sl1000_mr025_nv5_19,54,4,4,53,3,5,49,1,9
SEIR01_sl500_mr025_nv10_13,14,8,6,14,6,6,13,0,7
SEIR01_sl1000_mr0125_nv10_19,25,5,5,25,3,5,23,0,7
SEIR01_sl1000_mr025_nv20_19,50,3,3,50,3,3,49,3,4
SEIR01_sl250_mr025_nv10_10,14,5,3,14,5,3,8,1,9
SEIR01_sl1000_mr025_nv20_2,38,5,4,38,4,4,36,3,6
SEIR01_sl1000_mr025_nv10_2,20,4,2,21,3,1,19,2,3
SEIR01_sl1000_mr025_nv10_10,7,2,2,7,2,2,7,1,2
SEIR01_sl1000_mr05_nv10_2,8,1,0,8,1,0,7,1,1
SEIR01_sl1000_mr025_nv5_12,15,4,4,12,4,7,11,2,8
SEIR01_sl500_mr025_nv10_12,48,4,3,43,3,8,43,1,8
SEIR01_sl250_mr025_nv10_11,13,7,3,13,4,3,10,1,6
SEIR01_sl1000_mr025_nv20_12,16,2,2,16,1,2,15,0,3
SEIR01_sl1000_mr05_nv10_11,25,10,7,25,8,7,26,2,6
