dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR015_sl1000_mr0125_nv10_1,29,3,44,66,0,7,60,16,13,65,6,8,62,0,11
SEIR015_sl1000_mr0125_nv10_10,9,2,10,16,0,3,15,4,4,18,1,1,16,1,3
SEIR015_sl1000_mr0125_nv10_11,5,1,8,9,0,4,9,4,4,9,4,4,11,0,2
SEIR015_sl1000_mr0125_nv10_12,4,0,10,9,0,5,12,2,2,12,2,2,10,0,4
SEIR015_sl1000_mr0125_nv10_13,26,1,24,47,1,3,45,5,5,48,2,2,48,1,2
SEIR015_sl1000_mr0125_nv10_14,32,9,20,39,1,13,44,15,8,42,15,10,45,1,7
SEIR015_sl1000_mr0125_nv10_15,13,4,32,29,1,16,31,16,14,28,17,17,27,1,18
SEIR015_sl1000_mr0125_nv10_16,40,12,23,37,1,26,48,23,15,51,18,12,49,2,14
SEIR015_sl1000_mr0125_nv10_17,15,5,11,18,0,8,19,13,7,20,12,6,25,1,1
SEIR015_sl1000_mr0125_nv10_18,5,3,5,7,0,3,8,4,2,8,4,2,9,0,1
SEIR015_sl1000_mr0125_nv10_19,15,2,16,17,0,14,16,16,15,18,12,13,21,1,10
SEIR015_sl1000_mr0125_nv10_2,9,1,7,11,1,5,10,7,6,12,4,4,12,1,4
SEIR015_sl1000_mr0125_nv10_20,26,2,15,34,0,7,35,8,6,35,8,6,40,1,1
SEIR015_sl1000_mr0125_nv10_3,5,2,4,6,0,3,8,3,1,8,2,1,9,0,0
SEIR015_sl1000_mr0125_nv10_4,6,0,4,7,0,3,8,2,2,8,2,2,9,0,1
SEIR015_sl1000_mr0125_nv10_5,11,5,40,47,1,4,32,19,19,30,10,21,35,2,16
SEIR015_sl1000_mr0125_nv10_6,12,2,23,28,0,7,29,8,6,32,4,3,29,1,6
SEIR015_sl1000_mr0125_nv10_7,28,8,40,52,0,16,61,15,7,52,21,16,59,0,9
SEIR015_sl1000_mr0125_nv10_8,7,2,11,14,0,4,11,9,7,12,8,6,15,1,3
SEIR015_sl1000_mr0125_nv10_9,5,5,16,11,0,10,9,14,12,9,14,12,13,3,8
SEIR015_sl1000_mr025_nv10_1,8,1,2,7,0,3,9,1,1,8,2,2,8,1,2
SEIR015_sl1000_mr025_nv10_10,1,1,10,4,1,7,10,1,1,10,1,1,10,2,1
SEIR015_sl1000_mr025_nv10_11,25,5,31,46,0,10,43,15,13,46,13,10,53,1,3
SEIR015_sl1000_mr025_nv10_12,5,1,5,1,0,9,7,6,3,9,4,1,7,0,3
SEIR015_sl1000_mr025_nv10_13,2,5,8,1,0,9,4,8,6,4,8,6,3,0,7
SEIR015_sl1000_mr025_nv10_14,9,2,16,17,3,8,19,10,6,20,10,5,20,3,5
SEIR015_sl1000_mr025_nv10_15,16,16,42,37,0,21,29,41,29,37,28,21,35,3,23
SEIR015_sl1000_mr025_nv10_16,10,6,4,8,0,6,11,5,3,11,5,3,11,0,3
SEIR015_sl1000_mr025_nv10_17,15,3,23,26,1,12,28,11,10,32,7,6,32,1,6
SEIR015_sl1000_mr025_nv10_18,18,5,19,25,0,12,26,17,11,26,14,11,31,1,6
SEIR015_sl1000_mr025_nv10_19,8,4,11,14,0,5,17,5,2,17,4,2,18,0,1
SEIR015_sl1000_mr025_nv10_2,19,7,37,49,1,7,38,22,18,48,9,8,50,3,6
SEIR015_sl1000_mr025_nv10_20,3,4,5,4,0,4,6,4,2,6,4,2,8,0,0
SEIR015_sl1000_mr025_nv10_3,30,3,16,36,0,10,40,8,6,42,5,4,45,1,1
SEIR015_sl1000_mr025_nv10_4,21,3,23,35,0,9,33,15,11,32,14,12,38,2,6
SEIR015_sl1000_mr025_nv10_5,23,1,25,44,0,4,41,7,7,41,7,7,43,1,5
SEIR015_sl1000_mr025_nv10_6,21,0,25,42,2,4,40,6,6,39,7,7,42,3,4
SEIR015_sl1000_mr025_nv10_7,5,1,4,5,1,4,8,1,1,8,1,1,8,1,1
SEIR015_sl1000_mr025_nv10_8,13,0,7,14,0,6,20,0,0,16,2,4,19,0,1
SEIR015_sl1000_mr025_nv10_9,30,2,26,48,0,8,53,6,3,55,5,1,51,1,5
SEIR015_sl1000_mr025_nv20_1,5,3,10,9,0,6,10,7,5,9,5,6,11,0,4
SEIR015_sl1000_mr025_nv20_10,3,6,6,2,0,7,7,3,2,7,3,2,7,0,2
SEIR015_sl1000_mr025_nv20_11,8,1,5,9,0,4,12,2,1,12,2,1,12,1,1
SEIR015_sl1000_mr025_nv20_12,10,9,10,12,1,8,12,14,8,12,13,8,16,2,4
SEIR015_sl1000_mr025_nv20_13,6,4,3,5,1,4,7,6,2,7,6,2,8,1,1
SEIR015_sl1000_mr025_nv20_14,7,2,15,21,1,1,20,2,2,20,2,2,21,1,1
SEIR015_sl1000_mr025_nv20_15,12,7,12,9,0,15,22,12,2,18,15,6,17,0,7
SEIR015_sl1000_mr025_nv20_16,20,2,10,26,3,4,27,4,3,27,4,3,27,3,3
SEIR015_sl1000_mr025_nv20_17,27,3,29,49,0,7,50,9,6,49,10,7,52,1,4
SEIR015_sl1000_mr025_nv20_18,20,13,19,24,0,15,29,21,10,28,18,11,33,0,6
SEIR015_sl1000_mr025_nv20_19,3,5,8,6,0,5,6,7,5,6,7,5,9,3,2
SEIR015_sl1000_mr025_nv20_2,15,1,10,15,0,10,22,4,3,22,4,3,23,1,2
SEIR015_sl1000_mr025_nv20_20,9,5,10,11,2,8,13,6,6,13,6,6,15,3,4
SEIR015_sl1000_mr025_nv20_3,34,9,32,47,0,19,43,36,23,44,26,22,47,1,19
