dataset,phy_f1,tnet_f1,tnet_50_f1,tnet_80_f1,tnet_100_f1
SEIR015_sl1000_mr025_nv5_15,0.571,0.831,0.839,0.842,0.829
SEIR015_sl1000_mr025_nv5_16,0.514,0.769,0.98,0.818,0.818
SEIR015_sl1000_mr025_nv5_17,0.586,0.78,0.902,0.875,0.831
SEIR015_sl1000_mr025_nv5_18,0.533,0.764,0.788,0.745,0.756
SEIR015_sl1000_mr025_nv5_19,0.625,0.727,0.632,0.588,0.588
SEIR015_sl1000_mr025_nv5_2,0.364,0.556,0.875,0.615,0.615
SEIR015_sl1000_mr025_nv5_20,0.561,0.878,0.815,0.746,0.746
SEIR015_sl1000_mr025_nv5_3,0.457,0.667,0.735,0.714,0.714
SEIR015_sl1000_mr025_nv5_4,0.485,0.86,0.887,0.879,0.828
SEIR015_sl1000_mr025_nv5_5,0.32,0.667,0.78,0.778,0.667
SEIR015_sl1000_mr025_nv5_6,0.368,0.603,0.644,0.66,0.667
SEIR015_sl1000_mr025_nv5_7,0.424,0.808,0.962,0.894,0.844
SEIR015_sl1000_mr025_nv5_8,0.562,0.739,0.826,0.8,0.8
SEIR015_sl1000_mr025_nv5_9,0.596,0.75,0.711,0.75,0.75
SEIR015_sl1000_mr05_nv10_1,0.692,0.941,0.848,0.786,0.786
SEIR015_sl1000_mr05_nv10_10,0.875,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr05_nv10_11,0.4,0.75,0.75,0.714,0.714
SEIR015_sl1000_mr05_nv10_12,0.769,1.0,1.0,1.0,1.0
SEIR015_sl1000_mr05_nv10_13,0.78,0.951,0.951,0.901,0.881
SEIR015_sl1000_mr05_nv10_14,0.606,0.957,1.0,0.892,0.821
SEIR015_sl1000_mr05_nv10_15,0.429,0.909,1.0,0.842,0.842
SEIR015_sl1000_mr05_nv10_16,0.812,0.927,1.0,0.988,0.962
SEIR015_sl1000_mr05_nv10_17,0.698,0.87,0.913,0.871,0.85
SEIR015_sl1000_mr05_nv10_18,0.719,0.829,0.9,0.895,0.861
SEIR015_sl1000_mr05_nv10_19,0.769,0.969,0.969,0.968,0.968
SEIR015_sl1000_mr05_nv10_2,0.415,0.81,0.795,0.706,0.706
SEIR015_sl1000_mr05_nv10_20,0.327,0.439,0.634,0.528,0.444
SEIR015_sl1000_mr05_nv10_3,0.869,0.857,0.916,0.914,0.914
SEIR015_sl1000_mr05_nv10_4,0.609,0.812,0.852,0.842,0.778
SEIR015_sl1000_mr05_nv10_5,0.778,1.0,0.909,0.842,0.842
SEIR015_sl1000_mr05_nv10_6,0.636,0.967,0.814,0.846,0.776
SEIR015_sl1000_mr05_nv10_7,0.917,0.923,0.923,0.917,0.917
SEIR015_sl1000_mr05_nv10_8,0.759,0.944,0.886,0.879,0.879
SEIR015_sl1000_mr05_nv10_9,0.636,0.8,0.774,0.846,0.846
SEIR015_sl250_mr025_nv10_1,0.903,1.0,0.941,0.97,0.97
SEIR015_sl250_mr025_nv10_10,0.771,0.966,0.931,0.919,0.919
SEIR015_sl250_mr025_nv10_11,0.489,0.706,0.758,0.667,0.691
SEIR015_sl250_mr025_nv10_12,0.735,0.953,0.965,0.938,0.938
SEIR015_sl250_mr025_nv10_13,0.769,0.688,0.667,0.769,0.769
SEIR015_sl250_mr025_nv10_14,0.889,0.96,1.0,0.958,0.958
SEIR015_sl250_mr025_nv10_15,0.833,1.0,1.0,0.99,0.968
SEIR015_sl250_mr025_nv10_16,0.714,0.741,0.83,0.816,0.833
SEIR015_sl250_mr025_nv10_17,0.667,0.75,0.833,0.783,0.783
SEIR015_sl250_mr025_nv10_18,0.706,0.636,0.778,0.706,0.706
SEIR015_sl250_mr025_nv10_19,0.49,0.811,0.87,0.831,0.812
SEIR015_sl250_mr025_nv10_2,0.778,0.909,0.884,0.857,0.857
SEIR015_sl250_mr025_nv10_20,0.881,0.848,0.921,0.935,0.918
SEIR015_sl250_mr025_nv10_3,0.75,0.933,0.897,0.929,0.929
SEIR015_sl250_mr025_nv10_4,0.529,0.96,0.8,0.826,0.844
SEIR015_sl250_mr025_nv10_5,0.769,0.75,0.857,0.769,0.769
SEIR015_sl250_mr025_nv10_6,0.627,0.829,0.943,0.896,0.889
SEIR015_sl250_mr025_nv10_7,0.769,0.625,0.8,0.714,0.769
SEIR015_sl250_mr025_nv10_8,0.683,0.963,0.926,0.941,0.941
SEIR015_sl250_mr025_nv10_9,0.571,0.8,0.69,0.636,0.636
SEIR015_sl500_mr025_nv10_1,0.75,0.9,0.9,0.889,0.889
SEIR015_sl500_mr025_nv10_10,0.754,0.93,0.965,0.952,0.897
SEIR015_sl500_mr025_nv10_11,0.933,0.875,0.875,0.933,0.933
SEIR015_sl500_mr025_nv10_12,0.658,0.849,0.922,0.907,0.822
SEIR015_sl500_mr025_nv10_13,0.756,0.929,0.926,0.943,0.902
