dataset,phy_f1,tnet_f1,tnet_50_f1,tnet_80_f1,tnet_100_f1
SIR003_sl1000_mr05_nv5_1,0.654,0.771,0.806,0.8,0.8
SIR003_sl1000_mr05_nv5_10,0.656,0.78,0.765,0.759,0.784
SIR003_sl1000_mr05_nv5_11,0.591,0.656,0.672,0.673,0.673
SIR003_sl1000_mr05_nv5_12,0.909,0.833,0.833,0.909,0.909
SIR003_sl1000_mr05_nv5_13,0.429,0.636,0.636,0.667,0.667
SIR003_sl1000_mr05_nv5_14,0.619,0.724,0.691,0.682,0.682
SIR003_sl1000_mr05_nv5_15,0.681,0.79,0.78,0.807,0.789
SIR003_sl1000_mr05_nv5_16,0.286,0.833,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,0.476,0.625,0.638,0.627,0.642
SIR003_sl1000_mr05_nv5_18,0.667,0.812,0.75,0.774,0.8
SIR003_sl1000_mr05_nv5_19,0.553,0.676,0.677,0.677,0.7
SIR003_sl1000_mr05_nv5_2,0.737,0.833,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_20,0.632,0.692,0.692,0.7,0.7
SIR003_sl1000_mr05_nv5_3,0.545,0.625,0.625,0.667,0.615
SIR003_sl1000_mr05_nv5_4,0.833,0.857,0.857,0.857,0.923
SIR003_sl1000_mr05_nv5_5,0.429,0.636,0.727,0.588,0.625
SIR003_sl1000_mr05_nv5_6,0.429,0.636,0.6,0.533,0.533
SIR003_sl1000_mr05_nv5_7,0.563,0.644,0.7,0.694,0.678
SIR003_sl1000_mr05_nv5_8,0.529,0.52,0.6,0.622,0.585
SIR003_sl1000_mr05_nv5_9,0.629,0.833,0.744,0.7,0.7
SIR003_sl1000_mr1_nv10_1,0.692,0.765,0.765,0.812,0.812
SIR003_sl1000_mr1_nv10_10,0.429,0.636,0.636,0.636,0.6
SIR003_sl1000_mr1_nv10_11,0.667,0.8,0.8,0.8,0.8
SIR003_sl1000_mr1_nv10_12,0.714,0.926,0.889,0.846,0.75
SIR003_sl1000_mr1_nv10_13,0.5,0.667,0.667,0.667,0.667
SIR003_sl1000_mr1_nv10_14,0.737,0.722,0.75,0.818,0.8
SIR003_sl1000_mr1_nv10_15,0.706,0.727,0.818,0.762,0.762
SIR003_sl1000_mr1_nv10_16,0.571,0.5,0.629,0.625,0.625
SIR003_sl1000_mr1_nv10_17,0.694,0.844,0.812,0.828,0.828
SIR003_sl1000_mr1_nv10_18,0.731,0.879,0.825,0.833,0.842
SIR003_sl1000_mr1_nv10_19,0.609,0.656,0.667,0.696,0.71
SIR003_sl1000_mr1_nv10_2,0.6,0.709,0.764,0.764,0.766
SIR003_sl1000_mr1_nv10_20,0.66,0.754,0.758,0.767,0.756
SIR003_sl1000_mr1_nv10_3,0.821,0.87,0.826,0.844,0.844
SIR003_sl1000_mr1_nv10_4,0.792,0.793,0.807,0.821,0.836
SIR003_sl1000_mr1_nv10_5,0.714,0.667,0.667,0.714,0.714
SIR003_sl1000_mr1_nv10_6,0.696,0.833,0.69,0.704,0.745
SIR003_sl1000_mr1_nv10_7,0.667,0.625,0.625,0.667,0.667
SIR003_sl1000_mr1_nv10_8,0.75,0.8,0.765,0.774,0.787
SIR003_sl1000_mr1_nv10_9,0.714,0.667,0.667,0.714,0.714
SIR003_sl250_mr05_nv10_1,0.638,0.625,0.712,0.704,0.731
SIR003_sl250_mr05_nv10_10,0.813,0.842,0.842,0.842,0.889
SIR003_sl250_mr05_nv10_11,0.5,0.667,0.667,0.696,0.696
SIR003_sl250_mr05_nv10_12,0.556,0.923,1.0,0.87,0.87
SIR003_sl250_mr05_nv10_13,0.444,0.857,0.571,0.571,0.667
SIR003_sl250_mr05_nv10_14,0.933,0.875,0.875,0.933,0.933
SIR003_sl250_mr05_nv10_15,0.857,0.875,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_16,0.706,0.818,0.909,0.857,0.857
SIR003_sl250_mr05_nv10_17,0.732,0.844,0.773,0.815,0.81
SIR003_sl250_mr05_nv10_18,0.8,0.815,0.868,0.84,0.84
SIR003_sl250_mr05_nv10_19,0.333,0.68,0.5,0.524,0.55
SIR003_sl250_mr05_nv10_2,0.88,0.857,0.857,0.889,0.889
SIR003_sl250_mr05_nv10_20,0.61,0.683,0.667,0.686,0.696
SIR003_sl250_mr05_nv10_3,0.842,0.909,0.864,0.857,0.857
SIR003_sl250_mr05_nv10_4,0.857,0.917,0.917,0.917,0.917
SIR003_sl250_mr05_nv10_5,0.778,0.818,0.818,0.837,0.829
SIR003_sl250_mr05_nv10_6,0.755,0.818,0.818,0.8,0.82
SIR003_sl250_mr05_nv10_7,0.667,0.761,0.75,0.732,0.732
SIR003_sl250_mr05_nv10_8,0.786,0.882,0.824,0.848,0.839
SIR003_sl250_mr05_nv10_9,0.714,0.778,0.778,0.778,0.824
SIR003_sl500_mr05_nv10_1,0.833,0.714,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_10,0.582,0.744,0.72,0.746,0.71
SIR003_sl500_mr05_nv10_11,0.667,0.667,0.833,0.727,0.727
SIR003_sl500_mr05_nv10_12,0.762,0.846,0.846,0.824,0.8
SIR003_sl500_mr05_nv10_13,0.703,0.833,0.771,0.787,0.773
SIR003_sl500_mr05_nv10_14,0.755,0.818,0.806,0.8,0.807
SIR003_sl500_mr05_nv10_15,0.733,0.737,0.842,0.788,0.788
SIR003_sl500_mr05_nv10_16,0.667,0.833,0.833,0.833,0.909
SIR003_sl500_mr05_nv10_17,0.824,0.9,0.9,0.9,0.9
SIR003_sl500_mr05_nv10_18,0.818,0.769,0.88,0.833,0.833
SIR003_sl500_mr05_nv10_19,0.723,0.75,0.8,0.815,0.815
SIR003_sl500_mr05_nv10_2,0.807,0.824,0.836,0.871,0.867
SIR003_sl500_mr05_nv10_20,0.545,0.625,0.625,0.615,0.615
SIR003_sl500_mr05_nv10_3,0.863,0.828,0.893,0.889,0.889
SIR003_sl500_mr05_nv10_4,0.556,0.692,0.84,0.727,0.727
SIR003_sl500_mr05_nv10_5,0.889,0.9,0.9,0.9,0.9
SIR003_sl500_mr05_nv10_6,0.5,0.667,0.718,0.686,0.706
SIR003_sl500_mr05_nv10_7,0.839,1.0,0.971,0.941,0.941
SIR003_sl500_mr05_nv10_8,0.696,0.867,0.867,0.867,0.867
SIR003_sl500_mr05_nv10_9,0.833,0.857,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.69,0.807,0.811,0.811,0.804
SIR01_sl1000_mr075_nv10_10,1.0,1.0,1.0,1.0,1.0
SIR01_sl1000_mr075_nv10_11,0.833,0.857,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_12,0.889,0.867,0.867,0.912,0.909
SIR01_sl1000_mr075_nv10_13,0.526,0.643,0.72,0.727,0.727
SIR01_sl1000_mr075_nv10_14,0.727,0.857,0.857,0.769,0.769
SIR01_sl1000_mr075_nv10_15,0.8,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.714,0.889,0.857,0.848,0.848
SIR01_sl1000_mr075_nv10_17,0.594,0.657,0.713,0.692,0.7
SIR01_sl1000_mr075_nv10_18,0.9,0.909,0.909,0.909,0.909
SIR01_sl1000_mr075_nv10_19,0.308,0.636,0.526,0.308,0.308
SIR01_sl1000_mr075_nv10_2,0.842,0.818,0.818,0.9,0.9
SIR01_sl1000_mr075_nv10_20,0.696,0.833,0.867,0.8,0.808
SIR01_sl1000_mr075_nv10_3,0.533,0.636,0.545,0.706,0.706
SIR01_sl1000_mr075_nv10_4,0.813,0.895,0.907,0.845,0.845
SIR01_sl1000_mr075_nv10_5,0.757,0.859,0.887,0.847,0.845
SIR01_sl1000_mr075_nv10_6,0.769,0.875,0.875,0.875,0.875
SIR01_sl1000_mr075_nv10_7,0.829,0.958,0.875,0.913,0.889
SIR01_sl1000_mr075_nv10_8,0.72,0.688,0.759,0.741,0.741
SIR01_sl1000_mr075_nv10_9,0.65,0.667,0.653,0.696,0.711
SIR01_sl1000_mr15_nv10_10,0.745,0.844,0.75,0.8,0.814
SIR01_sl1000_mr15_nv10_11,0.667,0.583,0.636,0.667,0.667
SIR01_sl1000_mr15_nv10_12,0.629,0.75,0.667,0.714,0.714
SIR01_sl1000_mr15_nv10_14,0.933,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_15,0.417,0.632,0.649,0.657,0.657
SIR01_sl1000_mr15_nv10_16,0.923,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv10_17,0.75,0.95,0.842,0.889,0.889
SIR01_sl1000_mr15_nv10_18,0.686,0.71,0.731,0.748,0.78
SIR01_sl1000_mr15_nv10_19,0.875,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_20,0.8,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_3,0.758,0.864,0.796,0.788,0.804
SIR01_sl1000_mr15_nv10_5,0.75,0.8,0.8,0.8,0.889
SIR01_sl1000_mr15_nv10_6,0.6,1.0,0.857,0.923,0.833
SIR01_sl1000_mr15_nv10_7,0.701,0.66,0.763,0.738,0.738
SIR01_sl1000_mr15_nv10_8,0.75,0.7,1.0,0.824,0.824
SIR01_sl1000_mr15_nv10_9,0.645,0.714,0.762,0.769,0.769
SIR01_sl1000_mr15_nv20_1,0.667,0.812,0.762,0.786,0.778
SIR01_sl1000_mr15_nv20_10,0.762,0.769,0.75,0.75,0.818
SIR01_sl1000_mr15_nv20_11,0.82,0.864,0.845,0.86,0.86
SIR01_sl1000_mr15_nv20_12,0.571,0.667,0.667,0.643,0.64
SIR01_sl1000_mr15_nv20_13,0.909,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv20_14,0.75,0.8,0.8,0.8,0.8
SIR01_sl1000_mr15_nv20_15,0.526,0.643,0.769,0.75,0.696
SIR01_sl1000_mr15_nv20_16,0.727,0.857,0.81,0.821,0.821
SIR01_sl1000_mr15_nv20_17,0.727,0.714,0.741,0.75,0.75
SIR01_sl1000_mr15_nv20_18,0.868,0.867,0.867,0.897,0.909
SIR01_sl1000_mr15_nv20_19,0.879,0.843,0.887,0.896,0.896
SIR01_sl1000_mr15_nv20_2,0.667,0.8,0.824,0.75,0.75
SIR01_sl1000_mr15_nv20_20,0.783,0.786,0.786,0.786,0.815
SIR01_sl1000_mr15_nv20_3,0.571,0.6,0.571,0.571,0.571
SIR01_sl1000_mr15_nv20_4,0.745,0.768,0.822,0.813,0.813
SIR01_sl1000_mr15_nv20_5,0.571,0.7,0.7,0.706,0.75
SIR01_sl1000_mr15_nv20_6,0.857,1.0,1.0,1.0,1.0
SIR01_sl1000_mr15_nv20_7,0.809,0.857,0.821,0.885,0.863
SIR01_sl1000_mr15_nv20_8,0.815,0.833,0.867,0.871,0.857
SIR01_sl1000_mr15_nv20_9,0.667,0.769,0.808,0.739,0.714
SIR01_sl1000_mr15_nv5_1,0.564,0.643,0.618,0.694,0.708
SIR01_sl1000_mr15_nv5_10,0.842,0.818,0.857,0.857,0.842
SIR01_sl1000_mr15_nv5_11,0.5,0.778,0.778,0.75,0.75
SIR01_sl1000_mr15_nv5_12,0.647,0.739,0.636,0.649,0.667
SIR01_sl1000_mr15_nv5_13,0.815,0.875,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_14,0.667,0.682,0.727,0.732,0.732
SIR01_sl1000_mr15_nv5_15,0.676,0.867,0.782,0.765,0.765
SIR01_sl1000_mr15_nv5_16,0.714,0.778,0.778,0.778,0.778
SIR01_sl1000_mr15_nv5_17,0.667,0.75,0.75,0.8,0.8
SIR01_sl1000_mr15_nv5_18,0.714,0.667,0.778,0.8,0.8
SIR01_sl1000_mr15_nv5_19,0.6,0.762,0.762,0.722,0.722
SIR01_sl1000_mr15_nv5_2,0.444,0.829,0.686,0.698,0.69
SIR01_sl1000_mr15_nv5_20,0.786,0.941,0.941,0.867,0.867
SIR01_sl1000_mr15_nv5_3,0.5,0.556,0.667,0.588,0.588
SIR01_sl1000_mr15_nv5_4,0.438,0.64,0.533,0.55,0.541
SIR01_sl1000_mr15_nv5_5,0.429,0.636,0.526,0.556,0.556
SIR01_sl1000_mr15_nv5_6,0.606,0.652,0.636,0.649,0.649
SIR01_sl1000_mr15_nv5_7,0.545,0.625,0.625,0.667,0.667
SIR01_sl1000_mr15_nv5_8,0.4,0.5,0.769,0.667,0.667
SIR01_sl1000_mr15_nv5_9,0.576,0.66,0.674,0.683,0.709
SIR01_sl1000_mr3_nv10_1,0.667,0.733,0.8,0.759,0.8
SIR01_sl1000_mr3_nv10_10,0.714,0.889,0.889,0.889,0.889
SIR01_sl1000_mr3_nv10_11,0.627,0.684,0.755,0.742,0.758
SIR01_sl1000_mr3_nv10_12,0.764,0.794,0.825,0.839,0.839
SIR01_sl1000_mr3_nv10_13,0.737,0.722,0.8,0.839,0.82
SIR01_sl1000_mr3_nv10_14,0.833,0.964,0.964,0.964,0.964
SIR01_sl1000_mr3_nv10_15,0.714,0.778,0.778,0.778,0.8
SIR01_sl1000_mr3_nv10_16,0.792,0.875,0.847,0.847,0.847
SIR01_sl1000_mr3_nv10_17,0.75,0.7,0.824,0.75,0.75
SIR01_sl1000_mr3_nv10_18,0.737,0.75,0.792,0.8,0.8
SIR01_sl1000_mr3_nv10_19,0.5,0.5,0.64,0.571,0.571
SIR01_sl1000_mr3_nv10_2,0.714,0.778,0.778,0.75,0.75
SIR01_sl1000_mr3_nv10_20,0.667,0.75,0.833,0.783,0.762
SIR01_sl1000_mr3_nv10_3,0.788,0.8,0.8,0.8,0.865
SIR01_sl1000_mr3_nv10_4,0.667,0.917,0.917,0.87,0.87
SIR01_sl1000_mr3_nv10_5,0.6,0.786,0.8,0.808,0.735
SIR01_sl1000_mr3_nv10_6,0.683,0.704,0.692,0.766,0.753
SIR01_sl1000_mr3_nv10_7,0.562,0.783,0.652,0.667,0.686
SIR01_sl1000_mr3_nv10_8,0.75,0.7,0.7,0.824,0.824
SIR01_sl1000_mr3_nv10_9,0.711,0.724,0.764,0.75,0.739
SIR01_sl250_mr15_nv10_1,0.583,0.765,0.75,0.733,0.733
SIR01_sl250_mr15_nv10_10,0.698,0.786,0.741,0.74,0.766
SIR01_sl250_mr15_nv10_11,0.703,0.708,0.667,0.711,0.78
SIR01_sl250_mr15_nv10_12,0.69,0.947,0.895,0.889,0.889
SIR01_sl250_mr15_nv10_13,0.471,0.769,0.8,0.818,0.762
SIR01_sl250_mr15_nv10_14,0.5,0.733,0.786,0.769,0.72
SIR01_sl250_mr15_nv10_15,0.769,0.875,0.75,0.75,0.857
SIR01_sl250_mr15_nv10_16,0.905,1.0,1.0,1.0,1.0
SIR01_sl250_mr15_nv10_17,1.0,1.0,1.0,1.0,1.0
SIR01_sl250_mr15_nv10_18,0.667,0.75,0.7,0.8,0.8
SIR01_sl250_mr15_nv10_19,0.727,0.857,0.857,0.857,0.857
SIR01_sl250_mr15_nv10_2,0.714,0.889,0.778,0.75,0.75
SIR01_sl250_mr15_nv10_20,0.25,0.857,0.714,0.615,0.667
SIR01_sl250_mr15_nv10_3,0.833,1.0,1.0,1.0,1.0
SIR01_sl250_mr15_nv10_4,0.5,0.75,0.75,0.818,0.818
SIR01_sl250_mr15_nv10_5,0.8,0.778,0.889,0.889,0.824
SIR01_sl250_mr15_nv10_6,0.59,0.674,0.738,0.737,0.722
SIR01_sl250_mr15_nv10_7,0.698,0.805,0.78,0.795,0.773
SIR01_sl250_mr15_nv10_8,0.364,0.667,0.556,0.625,0.625
SIR01_sl250_mr15_nv10_9,0.462,0.6,0.6,0.667,0.667
SIR01_sl500_mr15_nv10_1,0.75,0.8,0.889,0.75,0.75
SIR01_sl500_mr15_nv10_10,0.471,0.692,0.64,0.727,0.727
SIR01_sl500_mr15_nv10_11,0.692,0.706,0.824,0.839,0.786
SIR01_sl500_mr15_nv10_12,0.286,0.333,0.545,0.5,0.5
SIR01_sl500_mr15_nv10_13,0.25,0.714,0.571,0.571,0.462
SIR01_sl500_mr15_nv10_14,0.721,0.718,0.693,0.708,0.73
SIR01_sl500_mr15_nv10_15,0.667,0.7,0.75,0.717,0.717
SIR01_sl500_mr15_nv10_16,0.824,0.8,0.9,0.842,0.842
SIR01_sl500_mr15_nv10_17,0.87,1.0,1.0,1.0,1.0
SIR01_sl500_mr15_nv10_18,0.571,0.6,0.682,0.667,0.683
SIR01_sl500_mr15_nv10_19,0.683,0.704,0.704,0.75,0.783
SIR01_sl500_mr15_nv10_2,0.865,0.905,0.905,0.905,0.905
SIR01_sl500_mr15_nv10_20,0.78,0.92,0.92,0.898,0.898
SIR01_sl500_mr15_nv10_3,0.733,0.895,0.684,0.765,0.765
SIR01_sl500_mr15_nv10_4,0.676,0.796,0.778,0.759,0.729
SIR01_sl500_mr15_nv10_5,0.762,0.827,0.846,0.848,0.837
SIR01_sl500_mr15_nv10_6,0.863,0.862,0.877,0.893,0.889
SIR01_sl500_mr15_nv10_7,0.727,0.714,0.714,0.833,0.833
SIR01_sl500_mr15_nv10_8,0.545,0.5,0.75,0.667,0.667
SIR01_sl500_mr15_nv10_9,0.787,0.807,0.832,0.826,0.846
