host.1,host.2,adjacent,contiguous,paths12,paths21,nodes1,nodes2,ancestry,min.distance.between.subgraphs
101,104,FALSE,FALSE,0,0,1,1,none,3.9089697999999995
101,112,FALSE,FALSE,0,0,1,1,none,4.127682719999999
104,112,TRUE,TRUE,1,0,1,1,anc,0.0048331
101,120,FALSE,FALSE,0,0,1,1,none,1.6164418000000003
104,120,FALSE,FALSE,0,0,1,1,none,3.72516
112,120,FALSE,FALSE,0,0,1,1,none,3.9438729199999996
101,127,TRUE,TRUE,0,1,1,1,desc,0.200723
104,127,FALSE,FALSE,0,0,1,1,none,2.643948
112,127,FALSE,FALSE,0,0,1,1,none,2.8626609199999993
120,127,TRUE,TRUE,0,1,1,1,desc,0.171257
101,205,FALSE,FALSE,0,0,1,1,none,1.8423193100000002
104,205,FALSE,FALSE,0,0,1,1,none,3.95103751
112,205,FALSE,FALSE,0,0,1,1,none,4.16975043
120,205,TRUE,TRUE,1,0,1,1,anc,0.182236
127,205,FALSE,FALSE,1,0,1,1,anc,0.39713451
101,277,FALSE,FALSE,0,0,1,1,none,2.4534378
104,277,FALSE,FALSE,0,0,1,1,none,3.8323639999999997
112,277,FALSE,FALSE,0,0,1,1,none,4.05107692
120,277,FALSE,FALSE,0,0,1,1,none,2.269628
127,277,TRUE,TRUE,1,0,1,1,anc,0.432629
205,277,FALSE,FALSE,0,0,1,1,none,2.49550551
101,351,FALSE,FALSE,0,0,1,1,none,2.3618521
104,351,FALSE,FALSE,0,0,1,1,none,3.7407783
112,351,FALSE,FALSE,0,0,1,1,none,3.9594912199999994
120,351,FALSE,FALSE,0,0,1,1,none,2.1780423000000004
127,351,FALSE,FALSE,1,0,1,1,anc,0.6984722999999999
205,351,FALSE,FALSE,0,0,1,1,none,2.4039198100000005
277,351,FALSE,FALSE,0,0,1,1,none,1.4885302999999999
101,412,FALSE,FALSE,0,0,1,1,none,4.0585824
104,412,TRUE,TRUE,1,0,1,1,anc,0.143173
112,412,FALSE,FALSE,0,0,1,1,none,0.36832551999999996
120,412,FALSE,FALSE,0,0,1,1,none,3.8747726
127,412,FALSE,FALSE,0,0,1,1,none,2.7935605999999997
205,412,FALSE,FALSE,0,0,1,1,none,4.10065011
277,412,FALSE,FALSE,0,0,1,1,none,3.9819766
351,412,FALSE,FALSE,0,0,1,1,none,3.8903909
101,447,FALSE,FALSE,0,0,1,1,none,2.0063258
104,447,FALSE,FALSE,0,0,1,1,none,3.385252
112,447,FALSE,FALSE,0,0,1,1,none,3.6039649199999992
120,447,FALSE,FALSE,0,0,1,1,none,1.8225159999999998
127,447,TRUE,TRUE,1,0,1,1,anc,0.342946
205,447,FALSE,FALSE,0,0,1,1,none,2.04839351
277,447,FALSE,FALSE,0,0,1,1,none,1.133004
351,447,FALSE,FALSE,0,0,1,1,none,0.7544323000000001
412,447,FALSE,FALSE,0,0,1,1,none,3.5348645999999997
101,93,FALSE,FALSE,0,0,1,1,none,1.9866718
104,93,FALSE,FALSE,0,0,1,1,none,4.09539
112,93,FALSE,FALSE,0,0,1,1,none,4.314102919999999
120,93,FALSE,FALSE,0,0,1,1,none,1.552278
127,93,TRUE,TRUE,1,0,1,1,anc,0.293372
205,93,FALSE,FALSE,0,0,1,1,none,1.7781555099999997
277,93,FALSE,FALSE,0,0,1,1,none,2.6398580000000003
351,93,FALSE,FALSE,0,0,1,1,none,Inf
412,93,FALSE,FALSE,0,0,1,1,none,4.245002599999999
447,93,FALSE,FALSE,0,0,1,1,none,2.192746
101,935,FALSE,FALSE,0,0,1,1,none,3.1363349
104,935,FALSE,FALSE,0,0,1,1,none,3.6893149000000003
112,935,FALSE,FALSE,0,0,1,1,none,3.908027819999999
120,935,FALSE,FALSE,0,0,1,1,none,2.9525251
127,935,FALSE,FALSE,0,0,1,1,none,1.8713131
205,935,FALSE,FALSE,0,0,1,1,none,3.17840261
277,935,FALSE,FALSE,0,0,1,1,none,3.0597291
351,935,FALSE,FALSE,0,0,1,1,none,2.9681433999999998
412,935,FALSE,FALSE,0,0,1,1,none,3.8389274999999996
447,935,FALSE,FALSE,0,0,1,1,none,2.6126170999999996
93,935,FALSE,FALSE,0,0,1,1,none,3.3227550999999993
101,937,FALSE,FALSE,0,0,1,1,none,1.9875048
104,937,FALSE,FALSE,0,0,1,1,none,3.366431
112,937,FALSE,FALSE,0,0,1,1,none,3.5851439199999993
120,937,FALSE,FALSE,0,0,1,1,none,1.8036949999999998
127,937,TRUE,TRUE,1,0,1,1,anc,0.324125
205,937,FALSE,FALSE,0,0,1,1,none,2.02957251
277,937,FALSE,FALSE,0,0,1,1,none,1.114183
351,937,TRUE,TRUE,0,1,1,1,desc,0.149239
412,937,FALSE,FALSE,0,0,1,1,none,3.5160435999999997
447,937,TRUE,TRUE,0,0,1,1,none,0.380085
93,937,FALSE,FALSE,0,0,1,1,none,2.173925
935,937,FALSE,FALSE,0,0,1,1,none,2.5937960999999996
101,561,FALSE,FALSE,0,1,1,2,desc,1.3631788999999999
104,561,TRUE,TRUE,0,1,1,2,desc,1.67103
112,561,FALSE,FALSE,0,1,1,2,desc,1.88974292
120,561,FALSE,FALSE,0,1,1,2,desc,1.1793690999999997
127,561,TRUE,TRUE,0,1,1,2,desc,0.0981571
205,561,FALSE,FALSE,0,1,1,2,desc,1.4052466099999998
