host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7
107,1000_to_1099,1049.5,10,10,1,1,2.1921776,2.1921776,3.208603,5.937399,3.739777555555556,3.739777555555556,2.1921776,2.1921776,3.208603,5.937399,3.739777555555556,3.739777555555556,1,0,0,0,0,0,0
111,1000_to_1099,1049.5,10,10,1,1,3.3209968000000005,3.3209968000000005,2.5481249999999998,7.756365,5.057300088888889,5.057300088888889,3.3209968000000005,3.3209968000000005,2.5481249999999998,7.756365,5.057300088888889,5.057300088888889,1,0,0,0,0,0,0
129,1000_to_1099,1049.5,10,10,1,1,3.9343661000000005,3.9343661000000005,4.463687,9.072284999999999,5.9836795333333335,5.9836795333333335,3.9343661000000005,3.9343661000000005,4.463687,9.072284999999999,5.9836795333333335,5.9836795333333335,1,0,0,0,0,0,0
135,1000_to_1099,1049.5,10,10,1,1,4.8928398,4.8928398,5.235132,10.265724,6.663608933333333,6.663608933333333,4.8928398,4.8928398,5.235132,10.265724,6.663608933333333,6.663608933333333,1,0,0,0,0,0,0
177,1000_to_1099,1049.5,10,10,1,1,3.2144564000000004,3.2144564000000004,2.562984,7.518689999999999,5.066175022222222,5.066175022222222,3.2144564000000004,3.2144564000000004,2.562984,7.518689999999999,5.066175022222222,5.066175022222222,1,0,0,0,0,0,0
183,1000_to_1099,1049.5,10,10,1,1,0.1237035,0.1237035,0.081154,0.21237,0.1248534,0.1248534,0.1237035,0.1237035,0.081154,0.21237,0.1248534,0.1248534,1,0,0,0,0,0,0
231,1000_to_1099,1049.5,10,10,1,1,1.4230809,1.4230809,1.228503,2.8344489999999998,1.9696142,1.9696142,1.4230809,1.4230809,1.228503,2.8344489999999998,1.9696142,1.9696142,1,0,0,0,0,0,0
242,1000_to_1099,1049.5,10,10,1,1,3.8043202999999997,3.8043202999999997,3.6062450000000004,7.9569090000000005,5.822057355555556,5.822057355555556,3.8043202999999997,3.8043202999999997,3.6062450000000004,7.9569090000000005,5.822057355555556,5.822057355555556,1,0,0,0,0,0,0
248,1000_to_1099,1049.5,10,10,1,1,0.10481900000000002,0.10481900000000002,0.082466,0.21950299999999998,0.15038284444444444,0.15038284444444444,0.10481900000000002,0.10481900000000002,0.082466,0.21950299999999998,0.15038284444444444,0.15038284444444444,1,0,0,0,0,0,0
25,1000_to_1099,1049.5,10,10,1,1,0.4831748,0.4831748,0.402578,0.9992719999999999,0.6622252444444444,0.6622252444444444,0.4831748,0.4831748,0.402578,0.9992719999999999,0.6622252444444444,0.6622252444444444,1,0,0,0,0,0,0
256,1000_to_1099,1049.5,10,10,1,1,2.896301,2.896301,2.48977,6.383749000000001,4.616238711111111,4.616238711111111,2.896301,2.896301,2.48977,6.383749000000001,4.616238711111111,4.616238711111111,1,0,0,0,0,0,0
269,1000_to_1099,1049.5,10,10,1,1,2.9472766,2.9472766,3.92115,7.187009,4.656562577777778,4.656562577777778,2.9472766,2.9472766,3.92115,7.187009,4.656562577777778,4.656562577777778,1,0,0,0,0,0,0
292,1000_to_1099,1049.5,10,10,1,1,0.3440850000000001,0.3440850000000001,0.289602,0.7927630000000001,0.5229094222222223,0.5229094222222223,0.3440850000000001,0.3440850000000001,0.289602,0.7927630000000001,0.5229094222222223,0.5229094222222223,1,0,0,0,0,0,0
315,1000_to_1099,1049.5,10,10,2,2,3.7538748999999996,3.1917528571428564,3.141124,8.367831,5.319485977777778,3.783311238095238,3.7538748999999996,3.1917528571428564,3.141124,8.367831,5.319485977777778,3.783311238095238,0.7,0.3,0,0,0,0,0
