host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4
108,1000_to_1099,1049.5,5,5,2,2,2.5837844,1.9910955,3.522304,5.737433,4.243426400000001,3.396777666666667,2.5837844,1.9910955,3.522304,5.737433,4.243426400000001,3.396777666666667,0.8,0.2,0,0
116,1000_to_1099,1049.5,5,5,1,1,0.32004019999999994,0.32004019999999994,0.38395,0.657044,0.48980239999999997,0.48980239999999997,0.32004019999999994,0.32004019999999994,0.38395,0.657044,0.48980239999999997,0.48980239999999997,1,0,0,0
119,1000_to_1099,1049.5,5,5,1,1,3.493716,3.493716,3.961302,7.296239,5.9802784,5.9802784,3.493716,3.493716,3.961302,7.296239,5.9802784,5.9802784,1,0,0,0
124,1000_to_1099,1049.5,5,5,3,5,3.6600146000000002,3.5743210000000003,4.049321,8.398278999999999,6.8313318,7.148642000000001,3.6600146000000002,3.5743210000000003,4.049321,8.398278999999999,6.8313318,7.148642000000001,0.4,0.4,0.2,0
133,1000_to_1099,1049.5,5,5,1,1,4.320871,4.320871,4.35618,9.395015,7.6774988,7.6774988,4.320871,4.320871,4.35618,9.395015,7.6774988,7.6774988,1,0,0,0
136,1000_to_1099,1049.5,5,5,1,1,1.4214156,1.4214156,1.0914860000000002,2.956576,2.3804408,2.3804408,1.4214156,1.4214156,1.0914860000000002,2.956576,2.3804408,2.3804408,1,0,0,0
141,1000_to_1099,1049.5,5,5,1,3,5.2442048,5.2442048,6.03556,11.023037000000002,8.8807592,8.8807592,5.2442048,5.2442048,6.03556,11.023037000000002,8.8807592,8.8807592,1,0,0,0
142,1000_to_1099,1049.5,5,5,1,1,2.7638038,2.7638038,2.914589,6.111434,5.1750068,5.1750068,2.7638038,2.7638038,2.914589,6.111434,5.1750068,5.1750068,1,0,0,0
146,1000_to_1099,1049.5,5,5,1,1,2.9269604,2.9269604,3.2260099999999996,6.227076,4.8511256,4.8511256,2.9269604,2.9269604,3.2260099999999996,6.227076,4.8511256,4.8511256,1,0,0,0
165,1000_to_1099,1049.5,5,5,1,1,2.7935952,2.7935952,4.220297,6.152979,4.2002406,4.2002406,2.7935952,2.7935952,4.220297,6.152979,4.2002406,4.2002406,1,0,0,0
176,1000_to_1099,1049.5,5,5,1,1,0.3442218,0.3442218,0.595559,0.707144,0.450342,0.450342,0.3442218,0.3442218,0.595559,0.707144,0.450342,0.450342,1,0,0,0
178,1000_to_1099,1049.5,5,5,1,1,3.1717852,3.1717852,4.550243999999999,6.932302,4.4970238,4.4970238,3.1717852,3.1717852,4.550243999999999,6.932302,4.4970238,4.4970238,1,0,0,0
191,1000_to_1099,1049.5,5,5,1,1,3.6864435999999996,3.6864435999999996,2.998308,7.873084,6.479763999999999,6.479763999999999,3.6864435999999996,3.6864435999999996,2.998308,7.873084,6.479763999999999,6.479763999999999,1,0,0,0
192,1000_to_1099,1049.5,5,5,1,1,0.0802644,0.0802644,0.150338,0.197851,0.1145726,0.1145726,0.0802644,0.0802644,0.150338,0.197851,0.1145726,0.1145726,1,0,0,0
209,1000_to_1099,1049.5,5,5,1,1,0.12031239999999999,0.12031239999999999,0.106158,0.243111,0.18436,0.18436,0.12031239999999999,0.12031239999999999,0.106158,0.243111,0.18436,0.18436,1,0,0,0
215,1000_to_1099,1049.5,5,5,1,1,0.2111804,0.2111804,0.28615599999999997,0.474481,0.3081556,0.3081556,0.2111804,0.2111804,0.28615599999999997,0.474481,0.3081556,0.3081556,1,0,0,0
218,1000_to_1099,1049.5,5,5,2,2,4.1467072,2.9690486666666662,3.76428,8.795451,7.201343199999999,5.257953333333333,4.1467072,2.9690486666666662,3.76428,8.795451,7.201343199999999,5.257953333333333,0.6,0.4,0,0
228,1000_to_1099,1049.5,5,5,1,1,3.1663136,3.1663136,4.196419,7.350124,5.14625,5.14625,3.1663136,3.1663136,4.196419,7.350124,5.14625,5.14625,1,0,0,0
231,1000_to_1099,1049.5,5,5,1,1,0.15934559999999998,0.15934559999999998,0.193072,0.289384,0.148982,0.148982,0.15934559999999998,0.15934559999999998,0.193072,0.289384,0.148982,0.148982,1,0,0,0
238,1000_to_1099,1049.5,5,5,1,1,3.3757892,3.3757892,3.895383,7.69155,5.0596468,5.0596468,3.3757892,3.3757892,3.895383,7.69155,5.0596468,5.0596468,1,0,0,0
241,1000_to_1099,1049.5,5,5,1,1,1.7187131999999998,1.7187131999999998,1.73625,3.8918049999999997,3.010735,3.010735,1.7187131999999998,1.7187131999999998,1.73625,3.8918049999999997,3.010735,3.010735,1,0,0,0
26,1000_to_1099,1049.5,5,5,1,1,2.4649274,2.4649274,4.11723,5.933854,3.8580300000000003,3.8580300000000003,2.4649274,2.4649274,4.11723,5.933854,3.8580300000000003,3.8580300000000003,1,0,0,0
27,1000_to_1099,1049.5,5,5,1,1,2.4731023999999997,2.4731023999999997,2.392535,5.7443480000000005,4.5182758,4.5182758,2.4731023999999997,2.4731023999999997,2.392535,5.7443480000000005,4.5182758,4.5182758,1,0,0,0
286,1000_to_1099,1049.5,5,5,1,1,0.2457092,0.2457092,0.299476,0.536867,0.3429688,0.3429688,0.2457092,0.2457092,0.299476,0.536867,0.3429688,0.3429688,1,0,0,0
297,1000_to_1099,1049.5,5,5,2,2,2.4434354,2.144305333333333,1.849797,5.07471,4.202492199999999,3.634740666666666,2.4434354,2.144305333333333,1.849797,5.07471,4.202492199999999,3.634740666666666,0.6,0.4,0,0
325,1000_to_1099,1049.5,5,5,1,1,3.2626568,3.2626568,3.315835,7.082556,5.6497354,5.6497354,3.2626568,3.2626568,3.315835,7.082556,5.6497354,5.6497354,1,0,0,0
351,1000_to_1099,1049.5,5,5,1,1,2.9613196000000004,2.9613196000000004,2.884331,6.352985,5.3075676000000005,5.3075676000000005,2.9613196000000004,2.9613196000000004,2.884331,6.352985,5.3075676000000005,5.3075676000000005,1,0,0,0
353,1000_to_1099,1049.5,5,5,1,3,1.7348138,1.7348138,1.4374419999999999,3.817704,2.7699732,2.7699732,1.7348138,1.7348138,1.4374419999999999,3.817704,2.7699732,2.7699732,1,0,0,0
367,1000_to_1099,1049.5,5,5,1,2,4.1594796,4.1594796,3.007098,9.223554,6.854246,6.854246,4.1594796,4.1594796,3.007098,9.223554,6.854246,6.854246,1,0,0,0
