host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
110,89,complex,1,10,1/10,10
110,89,none,2,10,2/10,10
110,89,trans,5,10,5/10,10
179,110,trans,7,10,7/10,7
179,210,complex,3,10,3/10,10
179,210,none,5,10,5/10,10
179,463,complex,2,10,2/10,10
179,463,trans,8,10,8/10,10
179,971,trans,9,10,9/10,9
210,179,trans,2,10,2/10,10
210,214,none,5,10,5/10,8
210,214,trans,3,10,3/10,8
210,68,complex,1,10,1/10,8
210,68,none,4,10,4/10,8
210,68,trans,3,10,3/10,8
210,723,complex,7,10,7/10,10
210,723,trans,3,10,3/10,10
26,68,complex,5,10,5/10,10
26,68,none,1,10,1/10,10
332,38,trans,10,10,10/10,10
332,68,complex,3,10,3/10,9
363,4,complex,6,10,6/10,10
363,4,trans,4,10,4/10,10
363,723,complex,4,10,4/10,10
363,723,none,2,10,2/10,10
42,68,complex,1,10,1/10,8
42,68,none,3,10,3/10,8
42,739,complex,2,10,2/10,9
42,739,trans,7,10,7/10,9
42,86,none,2,10,2/10,10
42,86,trans,8,10,8/10,10
68,26,trans,4,10,4/10,10
68,332,trans,6,10,6/10,9
68,42,trans,4,10,4/10,8
68,533,trans,10,10,10/10,10
723,363,trans,4,10,4/10,10
89,110,trans,2,10,2/10,10
