host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
18,351,complex,4,10,4/10,10
18,351,trans,6,10,6/10,10
18,403,trans,10,10,10/10,10
18,486,complex,1,10,1/10,10
18,486,trans,9,10,9/10,10
18,588,complex,1,10,1/10,9
18,588,none,6,10,6/10,9
281,451,none,1,10,1/10,10
281,451,trans,9,10,9/10,10
281,588,complex,1,10,1/10,10
281,623,none,5,10,5/10,10
281,623,trans,4,10,4/10,10
316,45,complex,3,10,3/10,10
45,316,trans,7,10,7/10,10
45,588,complex,1,10,1/10,10
45,588,none,8,10,8/10,10
45,666,trans,10,10,10/10,10
588,18,trans,2,10,2/10,9
588,281,trans,9,10,9/10,10
588,45,trans,1,10,1/10,10
588,623,complex,1,10,1/10,6
588,623,trans,5,10,5/10,6
623,281,trans,1,10,1/10,10
