host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
100,17,none,4,10,4/10,10
108,611,none,8,10,8/10,8
12,17,none,10,10,10/10,10
12,22,trans,10,10,10/10,10
12,47,none,1,10,1/10,6
12,47,trans,5,10,5/10,6
12,6,none,10,10,10/10,10
12,92,none,1,10,1/10,10
12,92,trans,9,10,9/10,10
125,12,trans,10,10,10/10,10
125,17,trans,10,10,10/10,10
125,224,none,2,10,2/10,8
125,224,trans,6,10,6/10,8
125,250,trans,9,10,9/10,10
125,6,trans,10,10,10/10,10
15,2,complex,3,10,3/10,10
15,2,none,3,10,3/10,10
15,2,trans,1,10,1/10,10
15,64,none,7,10,7/10,7
15,947,complex,2,10,2/10,8
15,947,none,6,10,6/10,8
15,95,complex,1,10,1/10,8
15,95,none,7,10,7/10,8
17,100,trans,6,10,6/10,10
17,6,none,10,10,10/10,10
19,53,trans,10,10,10/10,10
2,15,trans,3,10,3/10,10
2,230,none,5,10,5/10,6
2,230,trans,1,10,1/10,6
2,313,trans,10,10,10/10,10
2,64,none,5,10,5/10,6
2,64,trans,1,10,1/10,6
2,931,complex,1,10,1/10,10
2,931,trans,9,10,9/10,10
2,947,complex,3,10,3/10,7
2,947,none,4,10,4/10,7
2,95,complex,1,10,1/10,7
2,95,none,6,10,6/10,7
230,64,none,6,10,6/10,8
230,947,none,7,10,7/10,8
230,95,none,6,10,6/10,6
250,108,trans,10,10,10/10,10
250,125,trans,1,10,1/10,10
250,611,trans,10,10,10/10,10
250,669,trans,10,10,10/10,10
47,92,none,6,10,6/10,10
64,230,trans,2,10,2/10,8
64,430,trans,10,10,10/10,10
64,947,none,8,10,8/10,8
64,95,none,8,10,8/10,9
732,125,trans,9,10,9/10,9
732,26,trans,10,10,10/10,10
732,738,trans,10,10,10/10,10
732,947,none,4,10,4/10,9
92,47,trans,4,10,4/10,10
947,230,trans,1,10,1/10,8
947,732,trans,5,10,5/10,9
947,833,trans,10,10,10/10,10
947,95,complex,4,10,4/10,10
947,95,none,6,10,6/10,10
95,19,trans,10,10,10/10,10
95,64,trans,1,10,1/10,9
