dataset,phylo_prec,phylo_rec,phylo_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,1.0,0.781,0.877,1.0,0.822,0.902,1.0,0.589,0.741
SEIR015_sl1000_mr0125_nv10_10,1.0,0.526,0.69,1.0,0.579,0.733,1.0,0.579,0.733
SEIR015_sl1000_mr0125_nv10_11,1.0,0.538,0.7,1.0,0.538,0.7,1.0,0.615,0.762
SEIR015_sl1000_mr0125_nv10_12,1.0,0.286,0.444,1.0,0.429,0.6,1.0,0.429,0.6
SEIR015_sl1000_mr0125_nv10_13,1.0,0.82,0.901,0.976,0.82,0.891,0.976,0.8,0.879
SEIR015_sl1000_mr0125_nv10_14,1.0,0.538,0.7,1.0,0.558,0.716,1.0,0.635,0.776
SEIR015_sl1000_mr0125_nv10_15,1.0,0.467,0.636,1.0,0.511,0.676,0.958,0.511,0.667
SEIR015_sl1000_mr0125_nv10_16,1.0,0.413,0.584,0.966,0.444,0.609,1.0,0.635,0.777
SEIR015_sl1000_mr0125_nv10_17,1.0,0.154,0.267,1.0,0.385,0.556,1.0,0.538,0.7
SEIR015_sl1000_mr0125_nv10_18,1.0,0.6,0.75,1.0,0.7,0.824,1.0,0.5,0.667
SEIR015_sl1000_mr0125_nv10_19,1.0,0.387,0.558,1.0,0.484,0.652,1.0,0.452,0.622
SEIR015_sl1000_mr0125_nv10_2,0.917,0.688,0.786,0.917,0.688,0.786,0.923,0.75,0.828
SEIR015_sl1000_mr0125_nv10_20,1.0,0.415,0.586,1.0,0.561,0.719,1.0,0.756,0.861
SEIR015_sl1000_mr0125_nv10_3,1.0,0.333,0.5,0.75,0.333,0.462,1.0,0.667,0.8
SEIR015_sl1000_mr0125_nv10_4,1.0,0.7,0.824,1.0,0.8,0.889,1.0,0.7,0.824
SEIR015_sl1000_mr0125_nv10_5,1.0,0.843,0.915,1.0,0.843,0.915,0.952,0.392,0.556
SEIR015_sl1000_mr0125_nv10_6,1.0,0.514,0.679,0.947,0.514,0.667,0.95,0.543,0.691
SEIR015_sl1000_mr0125_nv10_7,1.0,0.559,0.717,1.0,0.618,0.764,1.0,0.588,0.741
SEIR015_sl1000_mr0125_nv10_8,1.0,0.667,0.8,1.0,0.667,0.8,1.0,0.5,0.667
SEIR015_sl1000_mr0125_nv10_9,1.0,0.381,0.552,0.909,0.476,0.625,1.0,0.381,0.552
SEIR015_sl1000_mr025_nv10_1,1.0,0.4,0.571,1.0,0.4,0.571,1.0,0.6,0.75
SEIR015_sl1000_mr025_nv10_10,1.0,0.364,0.533,1.0,0.364,0.533,0.889,0.727,0.8
SEIR015_sl1000_mr025_nv10_11,1.0,0.714,0.833,1.0,0.804,0.891,1.0,0.75,0.857
SEIR015_sl1000_mr025_nv10_12,0,0,0,0,0,0,1.0,0.4,0.571
SEIR015_sl1000_mr025_nv10_13,1.0,0.1,0.182,1.0,0.1,0.182,1.0,0.1,0.182
SEIR015_sl1000_mr025_nv10_14,1.0,0.56,0.718,0.938,0.6,0.732,0.947,0.72,0.818
