dataset,phylo_prec,phylo_rec,phylo_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,1.0,0.781,0.877,1.0,0.822,0.902,1.0,0.452,0.623
SEIR015_sl1000_mr0125_nv10_10,1.0,0.526,0.69,1.0,0.579,0.733,1.0,0.579,0.733
SEIR015_sl1000_mr0125_nv10_11,1.0,0.538,0.7,1.0,0.538,0.7,1.0,0.615,0.762
SEIR015_sl1000_mr0125_nv10_12,1.0,0.286,0.444,1.0,0.429,0.6,1.0,0.429,0.6
SEIR015_sl1000_mr0125_nv10_13,1.0,0.82,0.901,0.976,0.82,0.891,0.97,0.64,0.771
SEIR015_sl1000_mr0125_nv10_14,1.0,0.538,0.7,1.0,0.558,0.716,1.0,0.538,0.7
SEIR015_sl1000_mr0125_nv10_15,1.0,0.467,0.636,1.0,0.511,0.676,0.955,0.467,0.627
SEIR015_sl1000_mr0125_nv10_16,1.0,0.413,0.584,0.966,0.444,0.609,1.0,0.54,0.701
SEIR015_sl1000_mr0125_nv10_17,1.0,0.154,0.267,1.0,0.385,0.556,1.0,0.423,0.595
SEIR015_sl1000_mr0125_nv10_18,1.0,0.6,0.75,1.0,0.7,0.824,1.0,0.3,0.462
SEIR015_sl1000_mr0125_nv10_19,1.0,0.387,0.558,1.0,0.484,0.652,1.0,0.387,0.558
SEIR015_sl1000_mr0125_nv10_2,0.917,0.688,0.786,0.917,0.688,0.786,0.9,0.562,0.692
SEIR015_sl1000_mr0125_nv10_20,1.0,0.415,0.586,1.0,0.561,0.719,1.0,0.659,0.794
SEIR015_sl1000_mr0125_nv10_3,1.0,0.333,0.5,0.75,0.333,0.462,1.0,0.556,0.714
SEIR015_sl1000_mr0125_nv10_4,1.0,0.7,0.824,1.0,0.8,0.889,1.0,0.7,0.824
SEIR015_sl1000_mr0125_nv10_5,1.0,0.843,0.915,1.0,0.843,0.915,0.923,0.235,0.375
SEIR015_sl1000_mr0125_nv10_6,1.0,0.514,0.679,0.947,0.514,0.667,0.938,0.429,0.588
