dataset,phylo_prec,phylo_rec,phylo_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,1.0,0.904,0.95,1.0,0.959,0.979,1.0,0.849,0.919
SEIR015_sl1000_mr0125_nv10_10,1.0,0.842,0.914,0.941,0.842,0.889,0.941,0.842,0.889
SEIR015_sl1000_mr0125_nv10_11,1.0,0.692,0.818,0.818,0.692,0.75,1.0,0.846,0.917
SEIR015_sl1000_mr0125_nv10_12,1.0,0.643,0.783,1.0,0.714,0.833,1.0,0.714,0.833
SEIR015_sl1000_mr0125_nv10_13,0.979,0.94,0.959,0.979,0.94,0.959,0.98,0.96,0.97
SEIR015_sl1000_mr0125_nv10_14,0.975,0.75,0.848,0.909,0.769,0.833,0.978,0.865,0.918
SEIR015_sl1000_mr0125_nv10_15,0.967,0.644,0.773,0.935,0.644,0.763,0.964,0.6,0.74
SEIR015_sl1000_mr0125_nv10_16,0.974,0.587,0.733,0.896,0.683,0.775,0.961,0.778,0.86
SEIR015_sl1000_mr0125_nv10_17,1.0,0.692,0.818,0.875,0.808,0.84,0.962,0.962,0.962
SEIR015_sl1000_mr0125_nv10_18,1.0,0.7,0.824,0.889,0.8,0.842,1.0,0.9,0.947
SEIR015_sl1000_mr0125_nv10_19,1.0,0.548,0.708,0.95,0.613,0.745,0.955,0.677,0.792
SEIR015_sl1000_mr0125_nv10_2,0.917,0.688,0.786,0.846,0.688,0.759,0.923,0.75,0.828
SEIR015_sl1000_mr0125_nv10_20,1.0,0.829,0.907,1.0,0.951,0.975,0.976,0.976,0.976
SEIR015_sl1000_mr0125_nv10_3,1.0,0.667,0.8,0.75,0.667,0.706,1.0,1.0,1.0
SEIR015_sl1000_mr0125_nv10_4,1.0,0.7,0.824,1.0,0.8,0.889,1.0,0.9,0.947
SEIR015_sl1000_mr0125_nv10_5,0.979,0.922,0.949,0.979,0.922,0.949,0.946,0.686,0.795
SEIR015_sl1000_mr0125_nv10_6,1.0,0.8,0.889,0.966,0.8,0.875,0.967,0.829,0.892
SEIR015_sl1000_mr0125_nv10_7,1.0,0.765,0.867,1.0,0.912,0.954,1.0,0.868,0.929
SEIR015_sl1000_mr0125_nv10_8,1.0,0.778,0.875,0.933,0.778,0.848,0.938,0.833,0.882
SEIR015_sl1000_mr0125_nv10_9,1.0,0.524,0.688,0.933,0.667,0.778,0.812,0.619,0.703
SEIR015_sl1000_mr025_nv10_1,1.0,0.7,0.824,0.875,0.7,0.778,0.889,0.8,0.842
SEIR015_sl1000_mr025_nv10_10,0.8,0.364,0.5,0.667,0.364,0.471,0.833,0.909,0.87
SEIR015_sl1000_mr025_nv10_11,1.0,0.821,0.902,0.98,0.857,0.914,0.981,0.946,0.964
SEIR015_sl1000_mr025_nv10_12,1.0,0.1,0.182,0.6,0.3,0.4,1.0,0.7,0.824
SEIR015_sl1000_mr025_nv10_13,1.0,0.1,0.182,0.4,0.2,0.267,1.0,0.3,0.462
SEIR015_sl1000_mr025_nv10_14,0.85,0.68,0.756,0.783,0.72,0.75,0.87,0.8,0.833
SEIR015_sl1000_mr025_nv10_15,1.0,0.638,0.779,0.896,0.741,0.811,0.921,0.603,0.729
SEIR015_sl1000_mr025_nv10_16,1.0,0.571,0.727,1.0,0.571,0.727,1.0,0.786,0.88
SEIR015_sl1000_mr025_nv10_17,0.963,0.684,0.8,0.931,0.711,0.806,0.97,0.842,0.901
SEIR015_sl1000_mr025_nv10_18,1.0,0.676,0.806,0.839,0.703,0.765,0.969,0.838,0.899
SEIR015_sl1000_mr025_nv10_19,1.0,0.737,0.848,1.0,0.947,0.973,1.0,0.947,0.973
SEIR015_sl1000_mr025_nv10_2,0.98,0.875,0.925,0.982,0.964,0.973,0.943,0.893,0.917
SEIR015_sl1000_mr025_nv10_20,1.0,0.5,0.667,0.833,0.625,0.714,1.0,1.0,1.0
SEIR015_sl1000_mr025_nv10_3,1.0,0.783,0.878,0.976,0.891,0.932,0.978,0.978,0.978
SEIR015_sl1000_mr025_nv10_4,1.0,0.795,0.886,0.947,0.818,0.878,0.95,0.864,0.905
SEIR015_sl1000_mr025_nv10_5,1.0,0.917,0.957,0.979,0.958,0.968,0.977,0.896,0.935
SEIR015_sl1000_mr025_nv10_6,0.955,0.913,0.933,0.933,0.913,0.923,0.933,0.913,0.923
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.833,0.556,0.667,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,1.0,0.7,0.824,0.778,0.7,0.737,1.0,0.95,0.974
SEIR015_sl1000_mr025_nv10_9,1.0,0.857,0.923,0.942,0.875,0.907,0.981,0.911,0.944
SEIR015_sl1000_mr025_nv20_1,1.0,0.6,0.75,1.0,0.733,0.846,1.0,0.733,0.846
SEIR015_sl1000_mr025_nv20_10,1.0,0.222,0.364,0.833,0.556,0.667,1.0,0.778,0.875
SEIR015_sl1000_mr025_nv20_11,1.0,0.692,0.818,0.818,0.692,0.75,0.923,0.923,0.923
