host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9
1,1000_to_1099,1049.5,11,11,5,11,0.0051438181818181826,0.005758714285714285,0.012121999999999999,0.024288999999999995,0.00984330909090909,0.010368095238095239,0.0051438181818181826,0.005758714285714285,0.012121999999999999,0.024288999999999995,0.00984330909090909,0.010368095238095239,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,0
29,1000_to_1099,1049.5,14,14,1,13,0.0054659999999999995,0.0054659999999999995,0.012214999999999998,0.024335999999999997,0.01075197802197802,0.01075197802197802,0.0054659999999999995,0.0054659999999999995,0.012214999999999998,0.024335999999999997,0.01075197802197802,0.01075197802197802,1,0,0,0,0,0,0,0,0
31,1000_to_1099,1049.5,11,11,4,9,0.008110999999999998,0.007057625,0.020679,0.032929,0.010955418181818182,0.009804750000000001,0.008110999999999998,0.007057625,0.020679,0.032929,0.010955418181818182,0.009804750000000001,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,0,0
41,1000_to_1099,1049.5,6,6,5,5,0.020865833333333333,0.004036,0.028298000000000004,0.052513000000000004,0.026660466666666667,0.008072,0.020865833333333333,0.004036,0.028298000000000004,0.052513000000000004,0.026660466666666667,0.008072,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0
42,1000_to_1099,1049.5,40,40,1,11,0.010896625000000002,0.010896625000000002,0.037776,0.073837,0.019612191025641025,0.019612191025641025,0.010896625000000002,0.010896625000000002,0.037776,0.073837,0.019612191025641025,0.019612191025641025,1,0,0,0,0,0,0,0,0
44,1000_to_1099,1049.5,11,11,2,5,0.012743272727272726,0.0107899,0.028308,0.061165,0.02124483636363636,0.01727731111111111,0.012743272727272726,0.0107899,0.028308,0.061165,0.02124483636363636,0.01727731111111111,0.9090909090909091,0.09090909090909091,0,0,0,0,0,0,0
45,1000_to_1099,1049.5,92,92,7,10,0.03310803260869565,0.0164796625,0.058331,0.187536,0.035147705924510275,0.022330881962025317,0.03310803260869565,0.0164796625,0.058331,0.187536,0.035147705924510275,0.022330881962025317,0.8695652173913043,0.06521739130434782,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0,0
1,1100_to_1199,1149.5,11,11,4,9,0.005777636363636363,0.001951,0.032105,0.04401,0.011407854545454546,0.0039013333333333335,0.005777636363636363,0.001951,0.032105,0.04401,0.011407854545454546,0.0039013333333333335,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.09090909090909091,0,0,0,0,0
29,1100_to_1199,1149.5,14,14,1,7,0.0045100714285714275,0.0045100714285714275,0.016053,0.027820000000000004,0.009015747252747253,0.009015747252747253,0.0045100714285714275,0.0045100714285714275,0.016053,0.027820000000000004,0.009015747252747253,0.009015747252747253,1,0,0,0,0,0,0,0,0
31,1100_to_1199,1149.5,11,11,4,11,0.015009636363636364,0.009844499999999999,0.02786,0.043797,0.017247163636363635,0.019687333333333334,0.015009636363636364,0.009844499999999999,0.02786,0.043797,0.017247163636363635,0.019687333333333334,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.09090909090909091,0,0,0,0,0
