host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4
148,1000_to_1099,1049.5,10,10,2,3,4.9019768,5.230020571428571,4.703935,12.67639,7.970704400000001,7.587843047619047,4.9019768,5.230020571428571,4.703935,12.67639,7.970704400000001,7.587843047619047,0.7,0.3,0,0
154,1000_to_1099,1049.5,10,10,1,1,0.1564533,0.1564533,0.08524,0.203814,0.12281597777777778,0.12281597777777778,0.1564533,0.1564533,0.08524,0.203814,0.12281597777777778,0.12281597777777778,1,0,0,0
165,1000_to_1099,1049.5,10,10,1,1,0.28005840000000004,0.28005840000000004,0.324119,0.63407,0.3465718222222222,0.3465718222222222,0.28005840000000004,0.28005840000000004,0.324119,0.63407,0.3465718222222222,0.3465718222222222,1,0,0,0
199,1000_to_1099,1049.5,10,10,1,2,0.42508429999999997,0.42508429999999997,0.5020060000000001,0.7541910000000001,0.36839255555555556,0.36839255555555556,0.42508429999999997,0.42508429999999997,0.5020060000000001,0.7541910000000001,0.36839255555555556,0.36839255555555556,1,0,0,0
201,1000_to_1099,1049.5,10,10,1,1,0.37062680000000003,0.37062680000000003,0.47135400000000005,0.6120720000000001,0.3128776888888889,0.3128776888888889,0.37062680000000003,0.37062680000000003,0.47135400000000005,0.6120720000000001,0.3128776888888889,0.3128776888888889,1,0,0,0
225,1000_to_1099,1049.5,10,10,1,7,2.8963416,2.8963416,2.576247,8.021822,4.363225422222222,4.363225422222222,2.8963416,2.8963416,2.576247,8.021822,4.363225422222222,4.363225422222222,1,0,0,0
26,1000_to_1099,1049.5,10,10,1,3,1.8699696,1.8699696,2.6589590000000003,4.168551000000001,2.293669733333333,2.293669733333333,1.8699696,1.8699696,2.6589590000000003,4.168551000000001,2.293669733333333,2.293669733333333,1,0,0,0
27,1000_to_1099,1049.5,10,10,1,1,0.2605005,0.2605005,0.337209,0.702729,0.37331153333333333,0.37331153333333333,0.2605005,0.2605005,0.337209,0.702729,0.37331153333333333,0.37331153333333333,1,0,0,0
302,1000_to_1099,1049.5,10,10,1,1,1.8146898,1.8146898,2.180621,5.364777,3.0108069333333334,3.0108069333333334,1.8146898,1.8146898,2.180621,5.364777,3.0108069333333334,3.0108069333333334,1,0,0,0
331,1000_to_1099,1049.5,10,10,1,7,3.4013163,3.4013163,3.9513249999999998,7.8581710000000005,4.400203933333334,4.400203933333334,3.4013163,3.4013163,3.9513249999999998,7.8581710000000005,4.400203933333334,4.400203933333334,1,0,0,0
335,1000_to_1099,1049.5,10,10,1,1,1.5304605,1.5304605,1.398746,3.318226,1.983181088888889,1.983181088888889,1.5304605,1.5304605,1.398746,3.318226,1.983181088888889,1.983181088888889,1,0,0,0
338,1000_to_1099,1049.5,10,10,1,1,1.8332548,1.8332548,2.517078,4.633796,2.2916041333333337,2.2916041333333337,1.8332548,1.8332548,2.517078,4.633796,2.2916041333333337,2.2916041333333337,1,0,0,0
34,1000_to_1099,1049.5,10,10,1,4,1.6991301,1.6991301,2.7170159999999997,4.582616,2.2559941555555554,2.2559941555555554,1.6991301,1.6991301,2.7170159999999997,4.582616,2.2559941555555554,2.2559941555555554,1,0,0,0
377,1000_to_1099,1049.5,10,10,1,1,0.748037,0.748037,0.7750750000000001,1.27765,0.6700826222222223,0.6700826222222223,0.748037,0.748037,0.7750750000000001,1.27765,0.6700826222222223,0.6700826222222223,1,0,0,0
440,1000_to_1099,1049.5,10,10,1,1,0.4071451,0.4071451,0.291971,0.6782079999999999,0.47371326666666663,0.47371326666666663,0.4071451,0.4071451,0.291971,0.6782079999999999,0.47371326666666663,0.47371326666666663,1,0,0,0
456,1000_to_1099,1049.5,10,10,1,1,0.11711750000000001,0.11711750000000001,0.229775,0.414437,0.15294113333333334,0.15294113333333334,0.11711750000000001,0.11711750000000001,0.229775,0.414437,0.15294113333333334,0.15294113333333334,1,0,0,0
468,1000_to_1099,1049.5,10,10,1,2,0.8016932999999999,0.8016932999999999,1.1391529999999999,1.6087580000000001,0.8591606,0.8591606,0.8016932999999999,0.8016932999999999,1.1391529999999999,1.6087580000000001,0.8591606,0.8591606,1,0,0,0
471,1000_to_1099,1049.5,10,10,1,1,0.19795900000000002,0.19795900000000002,0.192026,0.49281700000000006,0.2858455555555556,0.2858455555555556,0.19795900000000002,0.19795900000000002,0.192026,0.49281700000000006,0.2858455555555556,0.2858455555555556,1,0,0,0
503,1000_to_1099,1049.5,10,10,1,4,1.8362089999999998,1.8362089999999998,2.5338950000000002,3.943721,2.2535370222222224,2.2535370222222224,1.8362089999999998,1.8362089999999998,2.5338950000000002,3.943721,2.2535370222222224,2.2535370222222224,1,0,0,0
511,1000_to_1099,1049.5,10,10,1,1,0.16813060000000002,0.16813060000000002,0.193255,0.33672399999999997,0.16198924444444443,0.16198924444444443,0.16813060000000002,0.16813060000000002,0.193255,0.33672399999999997,0.16198924444444443,0.16198924444444443,1,0,0,0
573,1000_to_1099,1049.5,10,10,1,1,0.7844249999999999,0.7844249999999999,0.970611,1.4439739999999999,0.6357925777777778,0.6357925777777778,0.7844249999999999,0.7844249999999999,0.970611,1.4439739999999999,0.6357925777777778,0.6357925777777778,1,0,0,0
580,1000_to_1099,1049.5,10,10,1,1,1.2068480000000001,1.2068480000000001,1.789721,3.5716209999999995,1.8589988444444443,1.8589988444444443,1.2068480000000001,1.2068480000000001,1.789721,3.5716209999999995,1.8589988444444443,1.8589988444444443,1,0,0,0
605,1000_to_1099,1049.5,10,10,1,1,0.8871739,0.8871739,0.843325,1.9623929999999998,1.2492742888888888,1.2492742888888888,0.8871739,0.8871739,0.843325,1.9623929999999998,1.2492742888888888,1.2492742888888888,1,0,0,0
62,1000_to_1099,1049.5,10,10,1,9,1.3995369000000002,1.3995369000000002,1.136293,2.7498609999999997,1.7315392222222221,1.7315392222222221,1.3995369000000002,1.3995369000000002,1.136293,2.7498609999999997,1.7315392222222221,1.7315392222222221,1,0,0,0
662,1000_to_1099,1049.5,10,10,1,4,4.1312295,4.1312295,3.571901,10.432542000000002,6.219323266666668,6.219323266666668,4.1312295,4.1312295,3.571901,10.432542000000002,6.219323266666668,6.219323266666668,1,0,0,0
670,1000_to_1099,1049.5,10,10,1,8,2.8474380999999997,2.8474380999999997,2.684062,7.0946869999999995,4.735142333333333,4.735142333333333,2.8474380999999997,2.8474380999999997,2.684062,7.0946869999999995,4.735142333333333,4.735142333333333,1,0,0,0
675,1000_to_1099,1049.5,10,10,1,1,0.24642109999999998,0.24642109999999998,0.38021799999999994,0.571259,0.27132028888888887,0.27132028888888887,0.24642109999999998,0.24642109999999998,0.38021799999999994,0.571259,0.27132028888888887,0.27132028888888887,1,0,0,0
754,1000_to_1099,1049.5,10,10,1,6,3.9671964,3.9671964,3.630377,10.227305000000001,7.0167624,7.0167624,3.9671964,3.9671964,3.630377,10.227305000000001,7.0167624,7.0167624,1,0,0,0
82,1000_to_1099,1049.5,10,10,1,1,0.41550370000000003,0.41550370000000003,0.42629799999999995,0.9530599999999999,0.4638184222222222,0.4638184222222222,0.41550370000000003,0.41550370000000003,0.42629799999999995,0.9530599999999999,0.4638184222222222,0.4638184222222222,1,0,0,0
852,1000_to_1099,1049.5,10,10,2,5,5.962354399999999,3.8321191999999997,6.49279,14.582459,10.1904868,6.6503584,5.962354399999999,3.8321191999999997,6.49279,14.582459,10.1904868,6.6503584,0.5,0.5,0,0
876,1000_to_1099,1049.5,10,10,1,1,0.1563962,0.1563962,0.210852,0.44148800000000005,0.2437118666666667,0.2437118666666667,0.1563962,0.1563962,0.210852,0.44148800000000005,0.2437118666666667,0.2437118666666667,1,0,0,0
921,1000_to_1099,1049.5,10,10,1,4,0.5883143000000001,0.5883143000000001,1.0334590000000001,1.5157889999999998,0.7920738444444445,0.7920738444444445,0.5883143000000001,0.5883143000000001,1.0334590000000001,1.5157889999999998,0.7920738444444445,0.7920738444444445,1,0,0,0
974,1000_to_1099,1049.5,10,10,3,3,7.7948081,5.1420311666666665,9.897715999999999,18.811479,12.506314422222223,7.8958428666666665,7.7948081,5.1420311666666665,9.897715999999999,18.811479,12.506314422222223,7.8958428666666665,0.6,0.3,0.1,0
148,1100_to_1199,1149.5,10,10,1,1,3.0177322,3.0177322,2.762048,7.783691,4.913090444444444,4.913090444444444,3.0177322,3.0177322,2.762048,7.783691,4.913090444444444,4.913090444444444,1,0,0,0
154,1100_to_1199,1149.5,10,10,1,1,0.10599449999999999,0.10599449999999999,0.092488,0.184703,0.09903193333333334,0.09903193333333334,0.10599449999999999,0.10599449999999999,0.092488,0.184703,0.09903193333333334,0.09903193333333334,1,0,0,0
165,1100_to_1199,1149.5,10,10,1,1,0.1362377,0.1362377,0.163925,0.392132,0.20269708888888888,0.20269708888888888,0.1362377,0.1362377,0.163925,0.392132,0.20269708888888888,0.20269708888888888,1,0,0,0
199,1100_to_1199,1149.5,10,10,1,2,0.2923106,0.2923106,0.502023,0.712953,0.3478848888888889,0.3478848888888889,0.2923106,0.2923106,0.502023,0.712953,0.3478848888888889,0.3478848888888889,1,0,0,0
201,1100_to_1199,1149.5,10,10,1,1,0.17816839999999998,0.17816839999999998,0.297911,0.4825729999999999,0.2747136,0.2747136,0.17816839999999998,0.17816839999999998,0.297911,0.4825729999999999,0.2747136,0.2747136,1,0,0,0
225,1100_to_1199,1149.5,10,10,1,3,1.8910542,1.8910542,1.873667,6.495828,3.441687511111111,3.441687511111111,1.8910542,1.8910542,1.873667,6.495828,3.441687511111111,3.441687511111111,1,0,0,0
26,1100_to_1199,1149.5,10,10,1,2,0.7870269000000001,0.7870269000000001,0.8007799999999999,1.753674,1.0760868222222222,1.0760868222222222,0.7870269000000001,0.7870269000000001,0.8007799999999999,1.753674,1.0760868222222222,1.0760868222222222,1,0,0,0
27,1100_to_1199,1149.5,10,10,1,1,0.20108109999999998,0.20108109999999998,0.265398,0.594177,0.2570633111111111,0.2570633111111111,0.20108109999999998,0.20108109999999998,0.265398,0.594177,0.2570633111111111,0.2570633111111111,1,0,0,0
302,1100_to_1199,1149.5,10,10,1,1,2.0387462999999997,2.0387462999999997,2.247771,4.741474000000001,2.324705711111111,2.324705711111111,2.0387462999999997,2.0387462999999997,2.247771,4.741474000000001,2.324705711111111,2.324705711111111,1,0,0,0
331,1100_to_1199,1149.5,10,10,1,3,2.3542758999999998,2.3542758999999998,2.96543,6.732583,3.7018590000000002,3.7018590000000002,2.3542758999999998,2.3542758999999998,2.96543,6.732583,3.7018590000000002,3.7018590000000002,1,0,0,0
335,1100_to_1199,1149.5,10,10,1,1,0.8944765999999997,0.8944765999999997,0.929128,2.2795270000000003,1.2571565777777778,1.2571565777777778,0.8944765999999997,0.8944765999999997,0.929128,2.2795270000000003,1.2571565777777778,1.2571565777777778,1,0,0,0
338,1100_to_1199,1149.5,10,10,1,1,1.2481199,1.2481199,1.551507,2.8648959999999994,1.6132844666666666,1.6132844666666666,1.2481199,1.2481199,1.551507,2.8648959999999994,1.6132844666666666,1.6132844666666666,1,0,0,0
34,1100_to_1199,1149.5,10,10,1,3,1.7775151,1.7775151,1.976771,3.60812,1.9799852222222223,1.9799852222222223,1.7775151,1.7775151,1.976771,3.60812,1.9799852222222223,1.9799852222222223,1,0,0,0
