host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
148,852,complex,4,10,4/10,8
148,852,none,3,10,3/10,8
154,503,none,2,10,2/10,10
165,26,none,1,10,1/10,10
199,670,none,2,10,2/10,8
199,82,none,1,10,1/10,10
199,82,trans,7,10,7/10,10
225,331,none,7,10,7/10,8
225,331,trans,1,10,1/10,8
225,580,complex,1,10,1/10,10
225,580,trans,9,10,9/10,10
225,62,none,6,10,6/10,7
225,62,trans,1,10,1/10,7
225,754,none,6,10,6/10,6
225,852,complex,1,10,1/10,9
225,852,none,7,10,7/10,9
225,974,complex,1,10,1/10,6
225,974,none,4,10,4/10,6
225,974,trans,1,10,1/10,6
26,165,trans,9,10,9/10,10
26,335,complex,1,10,1/10,9
26,335,none,6,10,6/10,9
26,335,trans,1,10,1/10,9
26,377,none,6,10,6/10,8
26,754,complex,1,10,1/10,7
331,503,complex,1,10,1/10,10
331,503,none,5,10,5/10,10
331,503,trans,4,10,4/10,10
331,511,complex,1,10,1/10,10
331,511,trans,9,10,9/10,10
331,62,none,6,10,6/10,6
331,852,complex,1,10,1/10,8
331,852,none,6,10,6/10,8
335,26,trans,1,10,1/10,9
335,377,none,4,10,4/10,6
335,754,complex,1,10,1/10,6
335,754,none,1,10,1/10,6
34,468,none,3,10,3/10,7
34,468,trans,1,10,1/10,7
34,675,complex,1,10,1/10,10
34,675,trans,9,10,9/10,10
34,852,complex,1,10,1/10,6
377,26,trans,2,10,2/10,8
377,335,trans,2,10,2/10,6
377,754,complex,1,10,1/10,10
440,662,complex,2,10,2/10,10
468,34,trans,3,10,3/10,7
468,573,complex,1,10,1/10,10
468,573,none,1,10,1/10,10
468,573,trans,8,10,8/10,10
468,852,none,1,10,1/10,9
503,154,trans,8,10,8/10,10
503,456,trans,10,10,10/10,10
605,62,none,1,10,1/10,10
62,27,trans,10,10,10/10,10
62,605,trans,9,10,9/10,10
62,852,none,5,10,5/10,8
62,876,none,1,10,1/10,10
62,876,trans,9,10,9/10,10
62,921,trans,9,10,9/10,10
662,440,trans,8,10,8/10,10
662,471,trans,10,10,10/10,10
662,754,none,3,10,3/10,7
662,754,trans,1,10,1/10,7
670,199,trans,6,10,6/10,8
670,302,trans,10,10,10/10,10
670,974,complex,3,10,3/10,10
670,974,none,6,10,6/10,10
754,26,trans,6,10,6/10,7
754,335,trans,4,10,4/10,6
754,338,trans,10,10,10/10,10
754,377,trans,9,10,9/10,10
754,662,trans,3,10,3/10,7
754,852,complex,2,10,2/10,7
754,852,none,5,10,5/10,7
754,974,none,5,10,5/10,6
82,199,trans,2,10,2/10,10
852,148,trans,1,10,1/10,8
852,225,trans,1,10,1/10,9
852,331,trans,1,10,1/10,8
852,34,trans,5,10,5/10,6
852,468,trans,8,10,8/10,9
852,62,trans,3,10,3/10,8
852,974,complex,4,10,4/10,9
852,974,none,4,10,4/10,9
852,974,trans,1,10,1/10,9
921,201,trans,10,10,10/10,10
921,62,trans,1,10,1/10,10
974,670,trans,1,10,1/10,10
974,754,trans,1,10,1/10,6
