host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
12,343,trans,10,10,10/10,10
12,521,none,10,10,10/10,10
12,532,trans,10,10,10/10,10
12,628,trans,10,10,10/10,10
274,281,none,1,10,1/10,10
281,274,trans,9,10,9/10,10
281,437,complex,2,10,2/10,10
281,437,none,5,10,5/10,10
281,437,trans,3,10,3/10,10
281,742,complex,4,10,4/10,9
281,742,trans,5,10,5/10,9
412,437,none,1,10,1/10,6
437,12,trans,10,10,10/10,10
437,24,trans,10,10,10/10,10
437,412,trans,5,10,5/10,6
437,521,trans,10,10,10/10,10
