None	586	0.000000
586	729	0.421763
729	729	0.670642
586	179	0.713584
586	260	0.770583
586	405	0.825869
586	586	1.221097
405	291	7.984250
405	405	8.430383
260	260	10.010524
291	3	22.652342
291	353	22.924891
291	620	23.498864
291	10	23.684644
291	190	23.780501
291	793	23.875626
291	648	24.003847
291	722	24.375330
291	291	24.658125
190	190	25.012699
620	620	30.462165
793	793	31.037568
10	323	32.259849
10	10	32.370673
648	648	32.999377
3	842	33.071548
3	128	34.235521
3	109	34.311262
3	309	35.066106
3	3	35.408657
309	273	36.945337
309	309	36.946824
722	119	45.578121
722	765	45.650952
722	162	45.769958
722	219	45.943855
353	353	46.359565
722	104	46.734857
162	77	46.864917
162	162	47.174752
722	925	47.646121
722	722	47.952421
273	113	48.623186
273	273	48.949837
