outbreak,phylo_tp,phylo_fp,phylo_fn,tnet_tp,tnet_fp,tnet_fn
AA,2,0,0,2,0,0
AC,2,0,1,3,0,0
AI,12,24,2,11,20,3
AJ,2,1,0,2,1,0
AQ,2,7,6,1,9,7
AW,5,35,13,5,25,13
BA,4,2,1,4,2,1
BB,4,4,2,4,4,2
BC,1,0,0,1,0,0
BJ,3,0,0,3,0,0
