outbreak,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
AA,0.5,0.5,0.5,0.5,1,0.667
AC,0.5,0.333,0.4,1,1,1
AI,0.056,0.143,0.08,0.258,0.571,0.356
AJ,0.667,1,0.8,0.667,1,0.8
AQ,0.111,0.125,0.118,0,0,0
AW,0.125,0.278,0.172,0.174,0.222,0.195
BA,0.167,0.2,0.182,0.6,0.6,0.6
BB,0,0,0,0.125,0.167,0.143
BC,1,1,1,1,1,1
BJ,0.333,0.333,0.333,1,1,1
,0.3459,0.3912,0.3585,0.5324,0.656,0.5761
