outbreak,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
AA,0.5,0.5,0.5,0.5,1.0,0.667
AC,0.5,0.333,0.4,1.0,1.0,1.0
AI,0.056,0.143,0.08,0.278,0.714,0.4
AJ,0.667,1.0,0.8,0.667,1.0,0.8
AQ,0.111,0.125,0.118,0,0,0
AW,0.125,0.278,0.172,0.167,0.222,0.19
BA,0.167,0.2,0.182,0.6,0.6,0.6
BB,0,0,0,0.2,0.333,0.25
BC,1.0,1.0,1.0,1.0,1.0,1.0
BJ,0.333,0.333,0.333,1.0,1.0,1.0
