outbreak,phylo_tp,phylo_fp,phylo_fn,tnet_tp,tnet_fp,tnet_fn
AA,1,0,1,2,1,0
AC,1,0,2,3,0,0
AI,2,20,12,3,6,11
AJ,2,1,0,2,1,0
AQ,0,7,8,0,7,8
AW,4,9,14,2,3,16
BA,1,1,4,1,0,4
BB,0,6,6,0,4,6
BC,0,0,1,1,0,0
BJ,1,2,2,3,0,0
