outbreak,phylo_tp,phylo_fp,phylo_fn,tnet_tp,tnet_fp,tnet_fn
AA,1,0,1,2,0,0
AC,1,0,2,3,0,0
AI,8,14,6,8,12,6
AJ,2,1,0,2,1,0
AQ,1,6,7,1,6,7
AW,4,9,14,3,7,15
BA,1,1,4,4,1,1
BB,3,3,3,2,2,4
BC,0,0,1,1,0,0
BJ,3,0,0,3,0,0
