outbreak,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
AA,1,0.5,0.667,1,1,1
AC,1,0.333,0.5,1,1,1
AI,0.364,0.571,0.444,0.429,0.643,0.514
AJ,0.667,1,0.8,0.667,1,0.8
AQ,0.143,0.125,0.133,0.143,0.125,0.133
AW,0.308,0.222,0.258,0.25,0.167,0.2
BA,0.5,0.2,0.286,0.8,0.8,0.8
BB,0.5,0.5,0.5,0.4,0.333,0.364
BC,0,0,0,1,1,1
BJ,1,1,1,1,1,1
,0.5482,0.4451,0.4588,0.6689,0.7068,0.6811
