outbreak,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
AA,1,0.5,0.667,0.667,1,0.8
AC,1,0.333,0.5,1,1,1
AI,0.091,0.143,0.111,0.333,0.214,0.261
AJ,0.667,1,0.8,0.667,1,0.8
AQ,0,0,0,0,0,0
AW,0.308,0.222,0.258,0.4,0.111,0.174
BA,0.5,0.2,0.286,1,0.2,0.333
BB,0,0,0,0,0,0
BC,0,0,0,1,1,1
BJ,0.333,0.333,0.333,1,1,1
,0.3899,0.2731,0.2955,0.6067,0.5525,0.5368
