host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
121,226,complex,6,10,6/10,8
121,226,none,1,10,1/10,8
121,309,complex,4,10,4/10,8
121,309,none,2,10,2/10,8
121,309,trans,1,10,1/10,8
121,631,complex,3,10,3/10,6
121,631,none,3,10,3/10,6
216,631,none,1,10,1/10,10
226,121,trans,1,10,1/10,8
226,309,complex,10,10,10/10,10
226,609,complex,7,10,7/10,8
226,609,none,1,10,1/10,8
226,631,complex,7,10,7/10,8
226,631,none,1,10,1/10,8
226,835,complex,2,10,2/10,9
226,835,none,7,10,7/10,9
309,121,trans,1,10,1/10,8
309,609,complex,3,10,3/10,6
309,609,none,3,10,3/10,6
309,631,complex,7,10,7/10,9
309,631,none,2,10,2/10,9
309,835,complex,6,10,6/10,10
309,835,none,2,10,2/10,10
309,835,trans,2,10,2/10,10
407,631,none,2,10,2/10,10
609,631,complex,4,10,4/10,8
609,631,none,4,10,4/10,8
631,216,trans,9,10,9/10,10
631,407,trans,8,10,8/10,10
631,835,complex,3,10,3/10,10
631,835,none,7,10,7/10,10
631,85,complex,1,10,1/10,8
631,85,none,1,10,1/10,8
631,85,trans,6,10,6/10,8
