None	159	0.000000
159	150	0.641669
150	109	2.314004
150	511	2.369903
511	550	2.654960
109	264	3.425080
511	511	3.628768
159	85	3.700955
264	117	3.778193
117	353	4.083927
264	54	4.169663
117	546	4.170826
54	116	4.219349
159	159	4.350565
353	775	4.652255
85	85	4.717834
109	838	4.931326
109	56	4.971016
54	780	5.331398
109	386	5.347040
353	20	5.531948
264	264	5.542370
56	15	5.952919
775	64	6.008650
15	929	6.118338
15	206	6.137168
64	303	6.406581
56	646	6.425515
775	775	6.660046
54	318	6.704971
109	164	6.780086
64	64	6.803240
54	617	6.828813
318	225	6.904142
838	838	6.909933
617	720	6.927379
617	617	6.961054
117	977	7.023872
20	76	7.071455
76	76	7.120395
15	15	7.222541
546	243	7.351802
780	780	7.603186
20	901	7.714459
353	970	7.809000
54	284	7.852097
977	58	7.910598
54	828	7.948250
117	63	7.956337
720	720	8.020781
20	689	8.264818
977	339	8.293238
284	968	8.375641
150	52	8.447962
54	998	8.468240
646	646	8.524224
109	174	8.542588
63	615	8.555010
546	59	8.679580
56	60	8.761540
164	164	8.806821
386	835	8.854204
109	109	8.869407
116	250	8.925359
225	769	9.116636
386	386	9.165071
828	380	9.212963
150	939	9.240252
929	929	9.305630
380	120	9.328604
56	647	9.387735
59	500	9.418851
54	67	9.521243
225	32	9.577868
63	481	9.590387
54	54	9.612634
318	318	9.760616
120	581	9.806623
56	221	9.822914
243	243	9.885392
56	179	9.919126
