host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
108,147,complex,5,10,5/10,7
108,147,none,2,10,2/10,7
108,33,complex,7,10,7/10,10
108,33,none,2,10,2/10,10
108,33,trans,1,10,1/10,10
108,825,complex,3,10,3/10,6
108,825,none,1,10,1/10,6
147,33,complex,7,10,7/10,9
147,33,none,2,10,2/10,9
147,825,complex,7,10,7/10,8
190,466,complex,1,10,1/10,10
190,466,none,1,10,1/10,10
298,466,complex,2,10,2/10,10
298,848,complex,2,10,2/10,10
298,848,trans,8,10,8/10,10
33,68,complex,1,10,1/10,6
33,68,none,5,10,5/10,6
33,825,complex,4,10,4/10,9
33,825,none,1,10,1/10,9
466,190,trans,8,10,8/10,10
466,298,trans,8,10,8/10,10
466,390,trans,10,10,10/10,10
466,59,trans,10,10,10/10,10
466,825,complex,4,10,4/10,10
466,825,none,6,10,6/10,10
466,933,trans,10,10,10/10,10
555,6,none,8,10,8/10,10
6,555,trans,2,10,2/10,10
68,825,complex,3,10,3/10,10
68,825,none,2,10,2/10,10
682,825,complex,6,10,6/10,10
682,825,none,1,10,1/10,10
825,108,trans,2,10,2/10,6
825,147,trans,1,10,1/10,8
825,33,trans,4,10,4/10,9
825,68,trans,5,10,5/10,10
825,682,trans,3,10,3/10,10
933,151,trans,10,10,10/10,10
933,19,trans,10,10,10/10,10
933,191,trans,10,10,10/10,10
933,212,trans,10,10,10/10,10
933,381,trans,10,10,10/10,10
933,555,trans,8,10,8/10,8
933,6,trans,10,10,10/10,10
933,958,trans,10,10,10/10,10
